序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920169,七丰精工,46.15,30.0,10.65,208777.0,884377278.03,33.21,46.15,34.36,35.05,35.5,2.33,41.1,98.51,11.13,3728924154.0,2344567818.0,0.0,0.15,52.31,47.21
2,920227,美登科技,115.76,29.99,26.71,57462.0,626794927.73,29.31,115.76,89.66,89.8,89.05,1.84,32.66,113.05,11.2,4507868040.0,2036473072.0,0.0,0.0,102.09,93.26
3,920021,流金科技,13.57,29.98,3.13,1265902.0,1558165148.81,27.3,13.57,10.72,10.72,10.44,2.37,54.37,-257.35,6.71,4193129769.0,3159674543.0,0.0,0.0,112.36,101.93
4,300427,红相股份,15.76,20.03,2.63,2334228.0,3497129805.69,22.16,15.76,12.85,12.85,13.13,1.8,46.41,96.49,6.26,8014279896.0,7927357035.0,0.0,0.0,171.72,28.65
5,300792,壹网壹创,49.3,20.01,8.22,528166.0,2416407311.5,21.64,49.3,40.41,40.41,41.08,1.86,24.85,88.98,3.99,11681276589.0,10477910079.0,0.0,0.0,48.0,74.14
6,300758,七彩化学,16.85,20.01,2.81,524095.0,832340934.72,22.29,16.85,13.72,13.78,14.04,3.03,14.31,69.92,3.82,6841750343.0,6172171092.0,0.0,0.0,25.09,32.78
7,300520,科大国创,52.72,20.01,8.79,1066990.0,5331952123.77,20.74,52.72,43.61,43.61,43.93,1.85,38.38,-96.48,8.7,15395875269.0,14656604588.0,0.0,0.0,92.27,51.1
8,300773,拉卡拉,32.08,20.01,5.35,2030085.0,6264888778.61,18.14,32.08,27.23,27.23,26.73,2.23,27.64,55.12,6.94,24915411339.0,23564615892.0,0.0,0.0,35.93,12.64
9,301321,翰博高新,23.03,20.01,3.84,170039.0,372202989.08,19.54,23.03,19.28,19.28,19.19,2.15,11.52,-366.48,4.42,4293598050.0,3398447306.0,0.0,0.0,41.72,20.89
10,688292,浩瀚深度,37.24,20.01,6.21,244659.0,852734006.0,21.69,37.24,30.51,30.51,31.03,2.46,24.26,-481.68,5.81,5896908120.0,3754948228.0,0.0,0.11,72.41,28.41
11,301396,宏景科技,87.06,20.0,14.51,316819.0,2594171621.47,20.23,87.06,72.38,72.38,72.55,2.39,41.64,93.23,10.37,13365237642.0,6623618302.0,0.0,0.0,28.14,31.31
12,301378,通达海,54.59,20.0,9.1,157907.0,806344309.24,24.6,54.59,43.4,44.97,45.49,2.49,34.39,-78.38,4.04,5273394000.0,2506474247.0,0.0,0.0,88.89,92.22
13,688080,映翰通,69.13,20.0,11.52,115159.0,761037709.0,16.16,69.13,59.82,59.82,57.61,2.45,15.63,37.24,4.54,5091848405.0,5091848405.0,0.0,0.0,41.37,36.89
14,301408,华人健康,29.76,20.0,4.96,811415.0,2206567637.99,19.6,29.76,24.9,25.16,24.8,1.48,54.39,56.97,5.68,11904297600.0,4439337977.0,0.0,0.0,130.16,60.34
15,301275,汉朔科技,71.65,20.0,11.94,122889.0,826338542.98,21.27,71.65,58.95,59.0,59.71,2.45,36.37,72.2,7.57,30264960000.0,2421196800.0,0.0,0.0,32.32,34.13
16,688479,友车科技,25.02,20.0,4.17,128419.0,307171337.0,21.01,25.02,20.64,20.7,20.85,7.3,20.61,132.88,1.95,3610821348.0,1559181348.0,0.0,0.0,30.04,32.87
17,301001,凯淳股份,42.66,20.0,7.11,128762.0,520586185.97,22.25,42.66,34.75,34.75,35.55,1.8,25.6,6975.99,4.37,3412800000.0,2145798000.0,0.0,0.0,38.37,44.41
18,300785,值得买,83.89,20.0,13.98,436832.0,3550796171.12,16.56,83.89,72.31,72.31,69.91,1.23,35.71,930.32,8.83,16681966335.0,10262623169.0,0.0,0.0,154.21,91.44
19,301043,绿岛风,76.74,20.0,12.79,51346.0,384789724.19,18.37,76.74,64.99,65.86,63.95,1.9,9.05,63.39,6.22,5218320000.0,4354822335.0,0.0,0.0,68.73,17.52
20,301159,三维天地,61.79,20.0,10.3,195029.0,1145903487.17,16.0,61.79,53.55,56.18,51.49,2.36,36.79,-47.66,8.19,4779456500.0,3275795305.0,0.0,0.0,82.92,68.04
21,301117,佳缘科技,84.48,20.0,14.08,325677.0,2592487349.07,19.43,84.48,70.8,73.5,70.4,1.41,40.99,-855.6,8.36,10912165018.0,6711926454.0,0.0,0.0,120.29,58.65
22,688365,光云科技,34.2,20.0,5.7,276733.0,917526492.0,13.65,34.2,30.31,30.58,28.5,0.66,6.5,-726.62,15.37,14563204193.0,14563204193.0,0.0,0.0,142.21,102.73
23,301333,诺思格,91.2,19.25,14.72,129299.0,1100724714.44,21.65,91.78,75.22,77.85,76.48,4.23,22.62,69.13,4.59,8808210547.0,5213925341.0,0.04,1.33,79.1,53.15
24,300047,天源迪科,16.7,18.61,2.62,1768451.0,2785873046.67,19.46,16.9,14.16,14.2,14.08,3.74,32.35,206.92,3.23,10650336022.0,9128917075.0,0.0,-0.36,7.88,33.07
25,300578,会畅科技,32.52,17.02,4.73,598820.0,1827466295.46,21.77,33.3,27.25,28.2,27.79,1.54,30.21,476.16,5.42,6447731945.0,6445988060.0,-0.12,-0.46,80.87,57.86
26,300964,本川智能,67.2,16.87,9.7,137705.0,874622880.33,20.02,68.79,57.28,57.51,57.5,2.11,24.62,117.78,5.07,5194444685.0,3758619245.0,0.0,-0.44,52.52,20.86
27,688488,艾迪药业,19.83,16.72,2.84,242431.0,462338232.0,18.95,20.3,17.08,17.12,16.99,2.68,5.76,-914.86,8.53,8344123083.0,8344123083.0,0.51,0.71,40.74,21.43
28,688085,三友医疗,22.3,16.63,3.18,189775.0,396549785.0,18.36,22.33,18.82,18.82,19.12,4.48,6.05,89.98,3.58,7436213705.0,6997376622.0,0.0,1.0,12.85,23.75
29,301171,易点天下,81.32,16.15,11.31,1484206.0,11588733103.2,19.83,83.95,70.07,70.07,70.01,1.39,38.97,141.37,10.25,38373761795.0,30973889495.0,0.02,2.78,182.75,100.79
