序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920086,N科马,54.95,371.27,43.29,181017.0,987613412.13,265.27,79.93,49.0,50.0,11.66,,96.14,51.13,5.53,4598216000.0,1034598600.0,0.0,0.13,371.27,371.27
2,920179,凯德石英,55.88,20.28,9.42,105186.0,561786678.64,25.96,59.58,47.52,49.0,46.46,1.23,17.61,141.27,5.55,4189323600.0,3337068327.0,-0.32,-0.29,52.59,44.62
3,301235,华康洁净,48.22,20.01,8.04,156415.0,706715345.04,18.94,48.22,40.61,40.61,40.18,1.98,21.5,63.73,2.86,5196888753.0,3507658154.0,0.0,0.0,41.04,30.78
4,688362,甬矽电子,52.21,20.0,8.7,379759.0,1811711673.0,19.33,52.21,43.8,45.3,43.51,1.8,9.25,254.63,8.4,21431318996.0,21431318996.0,0.0,0.0,64.29,61.09
5,688376,美埃科技,76.2,20.0,12.7,57008.0,413948722.0,17.72,76.2,64.95,65.0,63.5,1.58,4.22,54.85,5.3,10304225010.0,10304225010.0,0.0,0.0,71.85,31.79
6,300215,电科院,8.16,20.0,1.36,809442.0,626079370.38,17.35,8.16,6.98,7.0,6.8,2.75,16.19,-197.45,3.12,6112608566.0,4078942431.0,0.0,0.0,35.32,28.3
7,300606,金太阳,31.02,20.0,5.17,237339.0,686344607.01,18.07,31.02,26.35,26.45,25.85,1.91,20.17,153.46,6.36,4291549563.0,3650262556.0,0.0,0.0,26.87,31.94
8,301529,福赛科技,150.43,20.0,25.07,48940.0,706508995.37,19.65,150.43,125.8,125.8,125.36,1.57,10.82,89.74,9.34,12762061500.0,6805229059.0,0.0,0.0,132.97,33.01
9,688234,天岳先进,111.19,20.0,18.53,213469.0,2253260914.0,16.07,111.19,96.3,96.3,92.66,2.17,4.97,36086.72,7.28,53884735907.0,47779570982.0,0.0,0.0,53.28,25.1
10,300952,恒辉安防,49.85,20.0,8.31,55521.0,270829089.95,10.54,49.85,45.47,45.47,41.54,0.65,5.3,78.71,5.08,8603451432.0,5223709417.0,0.0,0.0,49.79,21.97
11,300780,德恩精工,23.54,19.98,3.92,317768.0,704338711.2,19.72,23.54,19.67,19.84,19.62,2.13,29.55,-79.77,3.37,3452611800.0,2531374182.0,0.0,0.0,31.8,22.1
12,688334,西高院,25.06,19.5,4.09,313587.0,767379108.0,16.02,25.16,21.8,21.8,20.97,6.18,19.99,30.13,2.78,7933481418.0,3932031732.0,-0.2,-0.4,22.6,29.44
13,301266,宇邦新材,44.98,17.2,6.6,145132.0,620874808.58,19.85,46.0,38.38,38.38,38.38,3.42,13.91,70.33,2.74,4946874671.0,4692838337.0,0.02,0.4,16.23,23.74
14,688525,佰维存储,184.0,17.19,26.99,569132.0,9920542078.0,19.99,188.41,157.02,163.0,157.01,1.76,12.18,2119.56,18.2,85952234640.0,85952234640.0,-0.27,1.43,73.45,60.29
15,688403,汇成股份,22.23,17.12,3.25,1302025.0,2756392443.0,19.86,22.78,19.01,19.27,18.98,2.89,14.98,116.6,5.48,19316602401.0,19316602401.0,0.68,0.14,36.3,35.71
16,688663,新风光,55.0,15.55,7.4,117154.0,608100186.0,16.45,55.6,47.77,48.14,47.6,2.31,8.29,70.24,5.69,7776039150.0,7776039150.0,0.05,0.47,39.13,41.86
17,300669,沪宁股份,29.51,15.5,3.96,110991.0,321552047.5,21.29,30.66,25.22,25.91,25.55,4.59,6.08,290.41,6.51,5686740072.0,5385573141.0,-1.24,-3.75,-5.6,12.21
18,301286,侨源股份,53.28,15.47,7.14,86240.0,449953333.09,17.58,54.98,46.87,46.88,46.14,2.06,5.35,88.4,11.16,21317328000.0,8592966325.0,0.19,0.15,96.97,25.99
19,301261,恒工精密,107.18,14.61,13.66,98358.0,1052769142.94,19.17,112.22,94.29,94.29,93.52,2.36,26.24,90.38,6.12,9420071207.0,4017462345.0,0.22,0.07,35.19,4.48
20,300567,精测电子,135.9,14.2,16.9,244013.0,3235506568.15,14.96,138.8,121.0,122.34,119.0,1.64,10.75,284.88,10.76,38017370913.0,30855834208.0,0.09,0.1,89.78,49.01
21,300903,科翔股份,22.35,13.97,2.74,705944.0,1529132636.08,16.17,23.0,19.83,19.91,19.61,2.07,21.5,-58.07,5.37,9268420332.0,7339631871.0,0.04,-0.04,79.66,15.86
22,301348,蓝箭电子,34.37,13.51,4.09,841557.0,2814130439.52,13.54,36.18,32.08,32.09,30.28,2.4,54.25,-233.45,5.54,8248800000.0,5332133273.0,0.0,-0.06,45.14,70.23
23,301308,江波龙,353.48,13.48,41.98,295031.0,9872374018.11,18.97,366.0,306.91,312.88,311.5,1.62,10.75,155.93,19.68,148159468979.0,96992843435.0,0.57,0.22,95.38,44.37
24,688478,晶升股份,46.25,13.44,5.48,144240.0,644427416.0,17.81,48.1,40.84,41.3,40.77,3.73,13.95,-426.22,4.17,6399431940.0,4782687803.0,0.48,1.67,29.55,23.63
25,688627,精智达,248.0,13.35,29.2,106475.0,2545224305.0,16.76,259.33,222.67,222.67,218.8,1.84,14.72,421.67,13.71,23314914992.0,17943218624.0,0.23,0.4,59.38,10.92
26,301007,德迈仕,41.17,13.1,4.77,191415.0,774568494.67,16.76,42.6,36.5,36.82,36.4,3.33,12.51,123.56,9.21,6313007800.0,6298742395.0,0.0,-0.07,3.65,1.6
27,688396,华润微,68.2,13.04,7.87,582412.0,3794159983.0,17.42,70.48,59.97,61.01,60.33,2.83,4.39,129.22,3.95,90537504944.0,90537504944.0,0.29,0.03,29.44,29.02
28,300831,派瑞股份,13.65,12.9,1.56,368710.0,498240812.42,16.21,14.46,12.5,12.5,12.09,4.09,19.99,589.26,4.75,4368000000.0,2518209876.0,0.07,0.22,-3.4,23.87
29,301550,斯菱智驱,206.38,12.71,23.28,120671.0,2473161413.51,9.67,212.82,195.11,195.11,183.1,1.33,8.55,256.04,26.47,47730534500.0,29116001657.0,0.23,0.53,156.21,48.8
30,301678,新恒汇,79.54,12.46,8.81,144004.0,1107730447.48,15.37,81.78,70.91,70.91,70.73,3.44,30.06,119.25,9.98,19054241845.0,3810848417.0,0.18,0.4,1.91,23.86
31,300480,光力科技,20.92,11.75,2.2,482195.0,975813125.53,10.15,21.21,19.31,19.51,18.72,2.78,19.48,151.58,5.76,7381195274.0,5178342537.0,0.38,0.43,12.78,25.19
32,688179,阿拉丁,16.22,11.55,1.68,372889.0,587431348.0,14.72,16.68,14.54,14.54,14.54,2.93,11.21,70.05,5.44,5394885151.0,5394885151.0,0.0,-0.12,31.76,29.86
33,688387,信科移动-U,19.81,11.54,2.05,2126128.0,4119828415.0,12.95,20.53,18.23,18.68,17.76,0.92,10.54,-307.82,11.13,67725437500.0,39952356332.0,-0.4,-0.4,200.15,53.57
34,688610,埃科光电,76.98,11.52,7.95,44829.0,335107732.0,11.99,79.78,71.5,71.98,69.03,2.78,10.95,69.42,3.5,5234640000.0,3150989085.0,-0.8,-0.84,5.38,24.54
35,300427,红相股份,15.62,11.33,1.59,2030114.0,3187173626.06,18.03,16.79,14.26,14.26,14.03,1.2,40.36,95.64,6.21,7943087055.0,7856936351.0,0.39,0.19,165.2,27.51
36,300969,恒帅股份,156.0,10.64,15.0,44379.0,672441754.77,12.99,159.31,141.0,141.0,141.0,1.23,8.83,101.53,12.64,17472404820.0,7840921608.0,0.0,0.21,38.04,26.11
37,688584,上海合晶,26.11,10.54,2.49,175957.0,449936709.0,11.18,26.77,24.13,24.13,23.62,2.79,5.18,124.35,4.21,17375117597.0,8871874941.0,0.23,-0.08,12.64,19.01
38,301595,太力科技,53.55,10.53,5.1,86735.0,457769521.45,15.48,56.0,48.5,48.66,48.45,1.68,35.6,81.83,6.51,5798394000.0,1304638650.0,0.26,0.41,37.24,9.17
