序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920471,美邦科技,17.49,29.94,4.03,147283.0,237828573.7,29.64,17.49,13.5,13.51,13.46,12.86,27.77,-185.35,2.77,1455168000.0,927505316.0,0.0,0.0,19.14,37.83
2,300391,*ST长药,0.53,20.45,0.09,528796.0,26813450.97,20.45,0.53,0.44,0.44,0.44,0.82,15.09,-0.66,-0.29,185678139.0,185678139.0,0.0,0.0,-86.09,-39.08
3,300927,江天化学,30.31,19.99,5.05,195328.0,564378713.89,20.78,30.31,25.06,25.26,25.26,3.4,13.86,399.66,4.54,4375551600.0,4270343468.0,0.0,0.0,16.89,30.03
4,688380,中微半导,41.35,19.99,6.89,198383.0,799071391.0,12.62,41.35,37.0,37.0,34.46,2.29,11.73,81.53,5.44,16555092750.0,6990837750.0,0.0,0.0,10.27,28.62
5,300242,佳云科技,6.38,19.92,1.06,1234680.0,750138925.28,17.29,6.38,5.46,5.46,5.32,1.67,19.46,-102.56,15.32,4048462329.0,4048460122.0,0.0,0.0,39.61,27.6
6,300344,*ST立方,0.8,19.4,0.13,287382.0,22422093.0,10.45,0.8,0.73,0.73,0.67,0.51,4.49,-6.19,2.27,513365133.0,511995333.0,0.0,0.0,-81.26,-21.57
7,300986,志特新材,33.8,19.01,5.4,767783.0,2513499757.76,14.37,34.08,30.0,30.0,28.4,2.18,18.65,88.61,6.54,13924720355.0,13913230653.0,0.09,2.18,175.02,202.33
8,688352,颀中科技,16.68,16.32,2.34,834780.0,1312374160.0,19.53,17.07,14.27,14.27,14.34,3.81,22.82,80.6,3.3,19833141964.0,6102897132.0,-0.18,-0.42,23.1,32.28
9,920021,流金科技,11.39,16.22,1.59,841537.0,911828232.22,17.86,11.77,10.02,10.38,9.8,0.89,36.14,-216.0,5.63,3519509806.0,2652077601.0,0.44,1.24,68.24,69.49
10,688480,赛恩斯,79.52,13.8,9.64,63740.0,499356509.0,18.6,82.0,69.0,69.0,69.88,1.95,6.69,76.79,6.93,7580337754.0,7580337754.0,0.03,0.03,47.01,54.44
11,688209,英集芯,25.22,12.24,2.75,365750.0,907557215.0,17.31,26.3,22.41,22.44,22.47,3.21,8.43,71.69,5.15,10940033716.0,10940033716.0,0.04,0.0,8.71,26.48
