code,name,price,change,open,high,low,vol,timestamp
sh000001,上证指数,4138.7585,-0.64,4169.7041,4179.702,4126.2343,868382717.0,2026-01-13T17:29:59.464304
sz399006,创业板指,3321.889,-1.96,3390.688,3416.837,3307.631,41954770103.0,2026-01-13T17:29:59.464304
sh600519,贵州茅台,1411.0,-0.86,1426.79,1429.52,1408.99,3916866.0,2026-01-13T17:29:59.464304
sh000001,上证指数,4138.7585,-0.64,4169.7041,4179.702,4126.2343,868382717.0,2026-01-13T17:30:59.754429
sz399006,创业板指,3321.889,-1.96,3390.688,3416.837,3307.631,41954770103.0,2026-01-13T17:30:59.754429
sh600519,贵州茅台,1411.0,-0.86,1426.79,1429.52,1408.99,3916866.0,2026-01-13T17:30:59.754429
sh000001,上证指数,4138.7585,-0.64,4169.7041,4179.702,4126.2343,868382717.0,2026-01-13T17:32:00.023861
sz399006,创业板指,3321.889,-1.96,3390.688,3416.837,3307.631,41954770103.0,2026-01-13T17:32:00.023861
sh600519,贵州茅台,1411.0,-0.86,1426.79,1429.52,1408.99,3916866.0,2026-01-13T17:32:00.023861
sh000001,上证指数,4138.7585,-0.64,4169.7041,4179.702,4126.2343,868382717.0,2026-01-13T17:33:00.327061
sz399006,创业板指,3321.889,-1.96,3390.688,3416.837,3307.631,41954770103.0,2026-01-13T17:33:00.327061
sh600519,贵州茅台,1411.0,-0.86,1426.79,1429.52,1408.99,3916866.0,2026-01-13T17:33:00.327061
sh000001,上证指数,4138.7585,-0.64,4169.7041,4179.702,4126.2343,868382717.0,2026-01-13T17:42:41.056449
sz399006,创业板指,3321.889,-1.96,3390.688,3416.837,3307.631,41954770103.0,2026-01-13T17:42:41.056449
sh600519,贵州茅台,1411.0,-0.86,1426.79,1429.52,1408.99,3916866.0,2026-01-13T17:42:41.056449
sh000001,上证指数,4138.7585,-0.64,4169.7041,4179.702,4126.2343,868382717.0,2026-01-13T17:43:41.439625
sz399006,创业板指,3321.889,-1.96,3390.688,3416.837,3307.631,41954770103.0,2026-01-13T17:43:41.439625
sh600519,贵州茅台,1411.0,-0.86,1426.79,1429.52,1408.99,3916866.0,2026-01-13T17:43:41.439625
sh000001,上证指数,4138.7585,-0.64,4169.7041,4179.702,4126.2343,868382717.0,2026-01-13T17:44:41.754769
sz399006,创业板指,3321.889,-1.96,3390.688,3416.837,3307.631,41954770103.0,2026-01-13T17:44:41.754769
sh600519,贵州茅台,1411.0,-0.86,1426.79,1429.52,1408.99,3916866.0,2026-01-13T17:44:41.754769
sh000001,上证指数,4138.7585,-0.64,4169.7041,4179.702,4126.2343,868382717.0,2026-01-13T17:45:42.079935
sz399006,创业板指,3321.889,-1.96,3390.688,3416.837,3307.631,41954770103.0,2026-01-13T17:45:42.079935
sh600519,贵州茅台,1411.0,-0.86,1426.79,1429.52,1408.99,3916866.0,2026-01-13T17:45:42.079935
sh000001,上证指数,4138.7585,-0.64,4169.7041,4179.702,4126.2343,868382717.0,2026-01-13T17:46:42.361636
sz399006,创业板指,3321.889,-1.96,3390.688,3416.837,3307.631,41954770103.0,2026-01-13T17:46:42.361636
sh600519,贵州茅台,1411.0,-0.86,1426.79,1429.52,1408.99,3916866.0,2026-01-13T17:46:42.361636
sh000001,上证指数,4138.7585,-0.64,4169.7041,4179.702,4126.2343,868382717.0,2026-01-13T17:47:42.631735
sz399006,创业板指,3321.889,-1.96,3390.688,3416.837,3307.631,41954770103.0,2026-01-13T17:47:42.631735
sh600519,贵州茅台,1411.0,-0.86,1426.79,1429.52,1408.99,3916866.0,2026-01-13T17:47:42.631735
sh000001,上证指数,4138.7585,-0.64,4169.7041,4179.702,4126.2343,868382717.0,2026-01-13T17:48:42.906829
sz399006,创业板指,3321.889,-1.96,3390.688,3416.837,3307.631,41954770103.0,2026-01-13T17:48:42.906829
sh600519,贵州茅台,1411.0,-0.86,1426.79,1429.52,1408.99,3916866.0,2026-01-13T17:48:42.906829
sh000001,上证指数,4138.7585,-0.64,4169.7041,4179.702,4126.2343,868382717.0,2026-01-13T17:49:43.238043
