code,name,price,change,open,high,low,vol,timestamp
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:30:56.258266
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:30:56.258266
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:30:56.258266
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:31:56.298309
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:31:56.298309
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:31:56.298309
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:32:56.338027
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:32:56.338027
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:32:56.338027
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:33:56.377860
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:33:56.377860
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:33:56.377860
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:34:56.416021
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:34:56.416021
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:34:56.416021
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:35:56.456803
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:35:56.456803
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:35:56.456803
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:36:56.509327
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:36:56.509327
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:36:56.509327
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:54:30.612381
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:54:30.612381
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:54:30.612381
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:55:30.646206
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:55:30.646206
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:55:30.646206
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:56:30.705192
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:56:30.705192
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:56:30.705192
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:57:30.741370
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:57:30.741370
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:57:30.741370
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:58:30.803737
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:58:30.803737
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:58:30.803737
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T15:59:30.844227
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T15:59:30.844227
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T15:59:30.844227
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T16:00:30.883905
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T16:00:30.883905
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T16:00:30.883905
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T16:01:30.920676
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T16:01:30.920676
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T16:01:30.920676
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T16:02:30.957129
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T16:02:30.957129
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T16:02:30.957129
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T16:03:30.991723
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T16:03:30.991723
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T16:03:30.991723
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T16:04:31.028618
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T16:04:31.028618
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T16:04:31.028618
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T16:05:31.069503
sz399006,创业板指,3349.138,0.82,3333.171,3403.954,3308.627,43995841831.0,2026-01-14T16:05:31.069503
sh600519,贵州茅台,1398.01,-0.92,1411.0,1422.25,1396.18,5175797.0,2026-01-14T16:05:31.069503
sh000001,上证指数,4126.0932,-0.31,4138.6454,4190.8663,4103.6205,952551289.0,2026-01-14T16:10:44.536152
