排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
273,碳交易,BK0966,1942.74,7.16,0.37,2867983552000,2.06,62,64,康欣新材,10.03
274,工程机械概念,BK0991,1877.76,6.86,0.37,1230566528000,2.02,20,34,江顺科技,10.0
275,沪股通,BK0707,2669.65,9.2,0.35,75851898880000,1.87,649,851,三江购物,10.01
276,新材料,BK0523,38326.75,133.48,0.35,6840836864000,4.84,187,180,博菲电气,10.0
277,无人机,BK0704,3044.82,10.5,0.35,3929636672000,7.69,105,96,海格通信,10.0
278,供销社概念,BK1109,1169.91,3.97,0.34,156881236000,3.16,6,8,万润股份,5.04
279,转债标的,BK0528,12903.62,43.36,0.34,7481226496000,2.81,199,184,嘉美包装,10.03
280,钠离子电池,BK0988,1869.57,6.39,0.34,2811990208000,3.76,28,33,七彩化学,20.01
281,独家药品,BK0676,2735.93,9.18,0.34,780940176000,2.92,13,30,新里程,10.0
282,土壤修复,BK1070,1004.14,3.32,0.33,233611007000,2.78,15,17,实朴检测,12.52
283,风能,BK0595,2751.17,9.11,0.33,8301748992000,3.0,97,124,博菲电气,10.0
284,水利建设,BK0597,2199.95,7.18,0.33,2307723600000,3.14,48,58,利欧股份,9.97
285,预制菜概念,BK1025,1241.06,4.11,0.33,680279232000,4.37,23,36,三江购物,10.01
286,降解塑料,BK0909,2047.32,6.6,0.32,877106672000,3.71,28,33,君正集团,10.1
287,参股银行,BK0525,13079.41,40.7,0.31,12854714624000,2.13,84,140,三变科技,10.01
288,碳化硅,BK0977,1873.35,5.87,0.31,1080203408000,4.97,24,20,易事特,6.6
289,参股期货,BK0524,34837.3,104.79,0.3,3434727424000,2.52,19,25,创元科技,9.24
290,富时罗素,BK0867,1957.38,5.7,0.29,76159107072000,2.47,544,705,石基信息,9.97
291,京津冀,BK0684,2042.66,5.9,0.29,810062544000,4.63,23,33,金隅集团,9.86
292,绿色电力,BK1024,1281.28,3.72,0.29,5707427840000,2.43,59,84,拓日新能,9.94
