序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,32011791,6985834267.5,7180164608.0,0.4582386314868927,1143331659,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,137690847,7261392032.62,7261401982.559999,1.8962045907974243,203332022,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,79607574,17565482880.0,17565482880.0,0.45320457220077515,675287226,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,31260664,15047726288.56,16337682853.119999,0.20774343609809875,2414054800,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1458058336,14829119398.140001,14829119418.080002,9.835667610168457,766164231,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,77465893,9085613562.88,9085613562.88,0.8526214957237244,930506299,092502,092502,0,2/2,1,电子化学
7,002995,天地在线,10.019742965698242,22.29,286821280,2505779566.3199997,3955460359.2,11.518647193908691,93614166,093009,093009,0,2/2,2,文化传媒
8,600391,航发科技,9.995241165161133,46.22,655577920,15258579342.74,15258579019.199999,4.29889440536499,249762572,093019,093019,0,2/2,2,航天航空
9,601616,广电电气,9.920635223388672,5.54,368393120,4729361267.26,4729361228.4800005,7.8889665603637695,231604741,093040,093040,0,3/3,3,电网设备
10,002969,嘉美包装,10.0,18.92,434084672,19234380925.760002,19350393673.600002,2.2593393325805664,163869904,093048,093048,0,23/16,2,包装材料
11,002527,新时达,9.98810863494873,18.5,443253968,9791686068.0,12266633976.0,4.570926189422607,453792790,093057,093057,0,1/1,1,专用设备
12,002201,九鼎新材,10.023677825927734,13.94,1902433632,8392206474.799999,9083809185.6,23.24673843383789,460277611,093115,103054,2,5/3,2,玻璃玻纤
13,601677,明泰铝业,9.986772537231445,16.63,751294176,20255450207.01,20679798000.16,3.747328042984009,360208277,093308,093308,0,1/1,1,有色金属
14,600187,国中水务,9.960159301757812,2.76,196135790,4454035844.28,4454035847.04,4.448885440826416,80778576,093414,093605,1,1/1,1,公用事业
15,603926,铁流股份,10.004953384399414,22.21,286447312,5126925550.31,5213055930.31,5.736269950866699,64782061,093426,093950,2,2/2,2,汽车零部
16,688380,中微半导,19.99419593811035,41.35,713046528,6990837750.0,16555093080.800001,10.50356388092041,660067858,093451,093551,1,1/1,1,半导体
17,603421,鼎信通讯,10.0,7.92,259426344,5165348847.12,5165348855.04,5.092518329620361,90829086,093603,093821,1,1/1,1,通信服务
18,003039,顺控发展,9.982383728027344,18.73,212436202,11566125812.9,11566125925.28,1.8744508028030396,349831448,093651,093651,0,1/1,1,公用事业
19,003035,南网能源,9.9609375,5.63,403997952,21325757570.81,21325757553.92,1.938012957572937,423530430,093733,093733,0,1/1,1,专业服务
20,002208,合肥城建,10.034602165222168,15.9,1039608864,12769041689.7,12772341019.2,8.353165626525879,536467908,094115,102657,2,3/2,1,房地产开
21,600955,维远股份,9.9893159866333,20.59,399840608,11324500000.0,11324500000.0,3.622213840484619,136053634,094134,094325,2,1/1,1,化学原料
22,600649,城投控股,10.107526779174805,5.12,424311600,12823043932.16,12823043932.16,3.369743824005127,171201274,094216,095158,1,1/1,1,房地产开
23,603320,迪贝电气,9.990530014038086,23.23,172727250,3464666295.69,3464666295.69,5.069993495941162,145942660,094628,094628,0,4/2,1,电机
24,002291,遥望科技,10.014727592468262,7.47,498022400,6492365766.9,6988523839.2,7.919417858123779,461195559,094906,094906,0,1/1,1,互联网服
25,603916,苏博特,10.046082496643066,11.94,212013599,5018684953.62,5089966789.44,4.365927696228027,235880407,095210,095210,0,1/1,1,化学制品
26,603616,韩建河山,10.070671081542969,6.23,187267029,2394145390.0,2437911140.0,8.04716682434082,118406757,095254,095254,0,1/1,1,水泥建材
27,605089,味知香,10.003650665283203,30.13,142792393,4157940000.0,4157940000.0,3.503005027770996,142989296,095353,095353,0,1/1,1,食品饮料
28,000048,京基智农,10.006540298461914,16.82,272014320,8853367631.0,8919347545.92,3.159452199935913,401304376,095606,095606,0,1/1,1,农牧饲渔
29,600774,汉商集团,10.018903732299805,11.64,439493472,3431962404.84,3434177136.0,13.444936752319336,133930654,095722,095919,1,2/2,2,化学制药
30,002810,山东赫达,10.0,17.49,310847344,5644195556.339999,6095308934.879999,5.6854095458984375,362966681,100527,100527,0,1/1,1,化学制品
31,002165,红 宝 丽,9.96216869354248,8.72,621921584,6344929205.120001,6411553004.8,10.146219253540039,1168761656,100833,100833,0,1/1,1,化学制品
32,605366,宏柏新材,10.077519416809082,7.1,290176784,4616126975.9,4616127025.599999,6.468613147735596,133259012,100905,100905,0,1/1,1,化学制品
33,002809,红墙股份,10.0,12.1,139920947,1683333608.0,2560510197.2999997,8.567402839660645,193102448,101157,101157,0,1/1,1,化学制品
34,600610,中毅达,9.961315155029297,11.37,792001440,8058222635.849999,12180392292.96,10.142630577087402,347239800,101352,101519,1,1/1,1,化学原料
35,600230,沧州大化,10.0,18.15,474715104,7513392422.249999,7513392295.2,6.531624794006348,284044269,101418,101418,0,2/2,2,化学制品
36,300927,江天化学,19.992082595825195,30.31,467399440,4270343468.2999997,4375551600.0,11.59300708770752,384675788,101430,101430,0,1/1,1,化学原料
37,600403,大有能源,10.044978141784668,7.34,483488752,17548563030.68,17548563016.0,2.8826141357421875,343567050,101859,101859,0,1/1,1,煤炭行业
