序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,37085441,6985834267.5,7180164608.0,0.5308663249015808,964999959,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,154612001,7261392032.62,7261401982.559999,2.1292335987091064,175507874,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,91477632,17565482880.0,17565482880.0,0.520780622959137,617249904,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,35383482,15047726288.56,16337682853.119999,0.23514170944690704,2053839858,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1520261360,14829119398.140001,14829119418.080002,10.255132675170898,390164424,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,84899473,9085613562.88,9085613562.88,0.9344385266304016,886387442,092502,092502,0,2/2,1,电子化学
7,600391,航发科技,9.995241165161133,46.22,714032352,15258579342.74,15258579019.199999,4.6819868087768555,180645184,093019,093019,0,2/2,2,航天航空
8,601616,广电电气,9.920635223388672,5.54,391756400,4729361267.26,4729361228.4800005,8.38297176361084,210775394,093040,093040,0,3/3,3,电网设备
9,002969,嘉美包装,10.0,18.92,446103552,19234380925.760002,19350393673.600002,2.3218259811401367,161900332,093048,093048,0,23/16,2,包装材料
10,002201,九鼎新材,10.023677825927734,13.94,2503710304,8392206474.799999,9083809185.6,30.415958404541016,30233838,093115,133100,5,5/3,2,玻璃玻纤
11,601677,明泰铝业,9.986772537231445,16.63,819175888,20255450207.01,20679798000.16,4.082456111907959,236641025,093308,093308,0,1/1,1,有色金属
12,600187,国中水务,9.960159301757812,2.76,215236922,4454035844.28,4454035847.04,4.877735137939453,62510136,093414,093605,1,1/1,1,公用事业
13,603926,铁流股份,10.004953384399414,22.21,308186944,5126925550.31,5213055930.31,6.160298824310303,62776165,093426,093950,2,2/2,2,汽车零部
14,688380,中微半导,19.99419593811035,41.35,757982192,6990837750.0,16555093080.800001,11.146343231201172,417277818,093451,093551,1,1/1,1,半导体
15,002546,新联电子,10.011000633239746,10.0,1904192448,8012320960.0,8340491040.0,24.204030990600586,46840990,093527,110406,2,4/3,2,电网设备
16,603421,鼎信通讯,10.0,7.92,278901968,5165348847.12,5165348855.04,5.46956205368042,72203915,093603,093821,1,1/1,1,通信服务
17,003039,顺控发展,9.982383728027344,18.73,227064332,11566125812.9,11566125925.28,2.000924825668335,230837885,093651,093651,0,1/1,1,公用事业
18,003035,南网能源,9.9609375,5.63,496379264,21325757570.81,21325757553.92,2.371204137802124,216353991,093733,093733,0,1/1,1,专业服务
19,002208,合肥城建,10.034602165222168,15.9,1134229488,12769041689.7,12772341019.2,9.094181060791016,200531388,094115,102657,2,3/2,1,房地产开
20,600955,维远股份,9.9893159866333,20.59,448212688,11324500000.0,11324500000.0,4.049359321594238,69511840,094134,094325,2,1/1,1,化学原料
21,600649,城投控股,10.107526779174805,5.12,446100704,12823043932.16,12823043932.16,3.5396652221679688,158079313,094216,095158,1,1/1,1,房地产开
22,603320,迪贝电气,9.990530014038086,23.23,178892724,3464666295.69,3464666295.69,5.247946739196777,132081087,094628,094628,0,4/2,1,电机
23,002291,遥望科技,10.014727592468262,7.47,527838896,6492365766.9,6988523839.2,8.37867259979248,362055960,094906,094906,0,1/1,1,互联网服
24,603916,苏博特,10.046082496643066,11.94,236064341,5018684953.62,5089966789.44,4.845151901245117,171430675,095210,095210,0,1/1,1,化学制品
25,603616,韩建河山,10.070671081542969,6.23,200703313,2394145390.0,2437911140.0,8.608381271362305,93473007,095254,095254,0,1/1,1,水泥建材
26,605089,味知香,10.003650665283203,30.13,147947154,4157940000.0,4157940000.0,3.626978874206543,124155515,095353,095353,0,1/1,1,食品饮料
27,000048,京基智农,10.006540298461914,16.82,283385296,8853367631.0,8919347545.92,3.287888765335083,320300282,095606,095606,0,1/1,1,农牧饲渔
28,600774,汉商集团,10.018903732299805,11.64,460764512,3431962404.84,3434177136.0,14.064728736877441,122394134,095722,095919,1,2/2,2,化学制药
29,002810,山东赫达,10.0,17.49,321755264,5644195556.339999,6095308934.879999,5.878668785095215,246504864,100527,100527,0,1/1,1,化学制品
30,002165,红 宝 丽,9.96216869354248,8.72,705596960,6344929205.120001,6411553004.8,11.464994430541992,491903048,100833,100833,0,1/1,1,化学制品
31,605366,宏柏新材,10.077519416809082,7.1,312821088,4616126975.9,4616127025.599999,6.959161281585693,98250758,100905,100905,0,1/1,1,化学制品
32,002809,红墙股份,10.0,12.1,165474211,1683333608.0,2560510197.2999997,10.085418701171875,132595914,101157,101157,0,1/1,1,化学制品
33,600610,中毅达,9.961315155029297,11.37,884547408,8058222635.849999,12180392292.96,11.291096687316895,137538489,101352,101519,1,1/1,1,化学原料
34,600230,沧州大化,10.0,18.15,558519456,7513392422.249999,7513392295.2,7.647024631500244,78343023,101418,101418,0,2/2,2,化学制品
35,300927,江天化学,19.992082595825195,30.31,545801712,4270343468.2999997,4375551600.0,13.428977966308594,126068383,101430,101430,0,1/1,1,化学原料
36,600403,大有能源,10.044978141784668,7.34,530155856,17548563030.68,17548563016.0,3.148545265197754,197990503,101859,101859,0,1/1,1,煤炭行业
37,002181,粤 传 媒,10.029498100280762,11.19,1087674640,12695280825.39,12992240989.439999,8.8768310546875,387648030,103339,103339,0,8/4,1,文化传媒
38,300242,佳云科技,19.92481231689453,6.38,732563936,4048460121.64,4048462380.16,19.023303985595703,362983681,103551,103551,0,1/1,1,文化传媒
39,600539,狮头股份,10.009532928466797,11.54,184935504,2654200000.0,2654200000.0,7.160821437835693,150265317,103641,103641,0,1/1,1,环保行业
40,600838,上海九百,10.007819175720215,14.07,795353264,5640409472.67,5640409514.88,14.764931678771973,198657059,104834,104834,0,1/1,1,商业百货
41,000031,大悦城,10.169490814208984,3.25,202382952,13930490278.25,13930518368.0,1.5012444257736206,86383609,105839,110045,2,1/1,1,房地产开
42,000523,红棉股份,10.129870414733887,4.24,478998368,5618679052.96,7782386287.360001,8.852191925048828,116082660,110427,110654,1,1/1,1,食品饮料
43,600675,中华企业,10.144927024841309,3.04,515838720,18380251406.24,18380251299.84,2.8990180492401123,55059762,130011,131402,1,1/1,1,房地产开
44,000417,合百集团,10.035842895507812,9.21,841400416,7174842823.710001,7182733555.68,12.188603401184082,298608277,130303,130303,0,1/1,1,商业百货
45,603216,梦天家居,10.00400161743164,54.98,443826096,12243496200.0,12243496200.0,3.7430801391601562,51554636,130453,133241,1,3/2,1,装修装饰
46,002716,湖南白银,10.026619911193848,12.4,5350167808,28828192452.0,35006299136.0,19.515302658081055,253737331,131842,131842,0,1/1,1,贵金属
47,002637,赞宇科技,9.981851577758789,12.12,460790928,5365804578.0,5701260216.96,8.80239200592041,251261380,132248,132248,0,1/1,1,化学制品
48,002584,西陇科学,10.0217866897583,10.1,1147738256,4731107922.7,5910685801.599999,25.208948135375977,509906600,134630,134630,0,1/1,1,电子化学
49,000949,新乡化纤,10.029498100280762,7.46,1047381504,12680916531.98,12684461203.2,8.60452938079834,154797058,134936,134936,0,2/2,2,化纤行业
50,601179,中国西电,10.027854919433594,15.8,9215835904,80988941161.6,80988941414.40001,11.69411849975586,1028920553,135059,135059,0,2/2,2,电网设备
51,920471,美邦科技,29.940563201904297,17.49,217345020,927505316.43,1455167999.9999998,25.564823150634766,53550759,135059,135059,0,1/1,1,化学原料
52,601212,白银有色,10.028247833251953,7.79,3763742288,57683193440.69,57683192576.0,6.925349712371826,173128855,140408,140408,0,1/1,1,有色金属
