序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,38007691,6985834267.5,7180164608.0,0.5440680384635925,874984109,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,155940482,7261392032.62,7261401982.559999,2.147528648376465,181094367,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,93396964,17565482880.0,17565482880.0,0.5317073464393616,569323291,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,36848974,15047726288.56,16337682853.119999,0.24488067626953125,1972415328,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1683131968,14829119398.140001,14829119418.080002,11.353448867797852,223455376,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,85797156,9085613562.88,9085613562.88,0.9443187713623047,823493975,092502,092502,0,2/2,1,电子化学
7,600391,航发科技,9.995241165161133,46.22,727117232,15258579342.74,15258579019.199999,4.767740726470947,167389288,093019,093019,0,2/2,2,航天航空
8,601616,广电电气,9.920635223388672,5.54,395366816,4729361267.26,4729361228.4800005,8.459312438964844,204239856,093040,093040,0,3/3,3,电网设备
9,002969,嘉美包装,10.0,18.92,450310432,19234380925.760002,19350393673.600002,2.3436975479125977,159553287,093048,093048,0,23/16,2,包装材料
10,002201,九鼎新材,10.023677825927734,13.94,2640147328,8392206474.799999,9083809185.6,32.042049407958984,66511085,093115,141818,7,5/3,2,玻璃玻纤
11,601677,明泰铝业,9.986772537231445,16.63,828502320,20255450207.01,20679798000.16,4.128499984741211,222423705,093308,093308,0,1/1,1,有色金属
12,600187,国中水务,9.960159301757812,2.76,216671294,4454035844.28,4454035847.04,4.909939289093018,61315056,093414,093605,1,1/1,1,公用事业
13,603926,铁流股份,10.004953384399414,22.21,311134352,5126925550.31,5213055930.31,6.217787265777588,54371767,093426,093950,2,2/2,2,汽车零部
14,688380,中微半导,19.99419593811035,41.35,771909120,6990837750.0,16555093080.800001,11.345560073852539,385488021,093451,093551,1,1/1,1,半导体
15,002546,新联电子,10.011000633239746,10.0,1912533456,8012320960.0,8340491040.0,24.308134078979492,39189990,093527,110406,2,4/3,2,电网设备
16,603421,鼎信通讯,10.0,7.92,284340640,5165348847.12,5165348855.04,5.574853420257568,65775251,093603,093821,1,1/1,1,通信服务
17,003039,顺控发展,9.982383728027344,18.73,228714445,11566125812.9,11566125925.28,2.0151915550231934,206575043,093651,093651,0,1/1,1,公用事业
18,003035,南网能源,9.9609375,5.63,508658528,21325757570.81,21325757553.92,2.428783655166626,190550896,093733,093733,0,1/1,1,专业服务
19,002208,合肥城建,10.034602165222168,15.9,1142603072,12769041689.7,12772341019.2,9.159758567810059,171940962,094115,102657,2,3/2,1,房地产开
20,600955,维远股份,9.9893159866333,20.59,454101424,11324500000.0,11324500000.0,4.1013593673706055,60328700,094134,094325,2,1/1,1,化学原料
21,600649,城投控股,10.107526779174805,5.12,448726240,12823043932.16,12823043932.16,3.560140371322632,138944327,094216,095158,1,1/1,1,房地产开
22,603320,迪贝电气,9.990530014038086,23.23,179903229,3464666295.69,3464666295.69,5.2771124839782715,130859189,094628,094628,0,4/2,1,电机
23,002291,遥望科技,10.014727592468262,7.47,536424912,6492365766.9,6988523839.2,8.510920524597168,319728699,094906,094906,0,1/1,1,互联网服
