序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,37637941,6985834267.5,7180164608.0,0.5387751460075378,922517809,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,155447671,7261392032.62,7261401982.559999,2.140742063522339,174615191,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,92611300,17565482880.0,17565482880.0,0.5272345542907715,581511115,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,36542417,15047726288.56,16337682853.119999,0.24284344911575317,2009718081,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1640286208,14829119398.140001,14829119418.080002,11.064518928527832,295530181,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,85165701,9085613562.88,9085613562.88,0.9373687505722046,841321874,092502,092502,0,2/2,1,电子化学
7,600391,航发科技,9.995241165161133,46.22,719389248,15258579342.74,15258579019.199999,4.7170939445495605,184809606,093019,093019,0,2/2,2,航天航空
8,601616,广电电气,9.920635223388672,5.54,393635024,4729361267.26,4729361228.4800005,8.422694206237793,208957166,093040,093040,0,3/3,3,电网设备
9,002969,嘉美包装,10.0,18.92,448368288,19234380925.760002,19350393673.600002,2.3336002826690674,162842548,093048,093048,0,23/16,2,包装材料
10,002201,九鼎新材,10.023677825927734,13.94,2631079920,8392206474.799999,9083809185.6,31.934005737304688,70701714,093115,141818,7,5/3,2,玻璃玻纤
11,601677,明泰铝业,9.986772537231445,16.63,825784640,20255450207.01,20679798000.16,4.11508321762085,224564319,093308,093308,0,1/1,1,有色金属
12,600187,国中水务,9.960159301757812,2.76,215790578,4454035844.28,4454035847.04,4.89016580581665,62106072,093414,093605,1,1/1,1,公用事业
13,603926,铁流股份,10.004953384399414,22.21,310012976,5126925550.31,5213055930.31,6.1959147453308105,42244885,093426,093950,2,2/2,2,汽车零部
14,688380,中微半导,19.99419593811035,41.35,766402240,6990837750.0,16555093080.800001,11.2667875289917,386313987,093451,093551,1,1/1,1,半导体
15,002546,新联电子,10.011000633239746,10.0,1907661456,8012320960.0,8340491040.0,24.24732780456543,45061990,093527,110406,2,4/3,2,电网设备
16,603421,鼎信通讯,10.0,7.92,281665264,5165348847.12,5165348855.04,5.523058891296387,68529827,093603,093821,1,1/1,1,通信服务
17,003039,顺控发展,9.982383728027344,18.73,228165656,11566125812.9,11566125925.28,2.010446786880493,212356994,093651,093651,0,1/1,1,公用事业
18,003035,南网能源,9.9609375,5.63,505332896,21325757570.81,21325757553.92,2.413189172744751,196832850,093733,093733,0,1/1,1,专业服务
19,002208,合肥城建,10.034602165222168,15.9,1137943728,12769041689.7,12772341019.2,9.123269081115723,194433738,094115,102657,2,3/2,1,房地产开
20,600955,维远股份,9.9893159866333,20.59,452621008,11324500000.0,11324500000.0,4.088286399841309,61998549,094134,094325,2,1/1,1,化学原料
21,600649,城投控股,10.107526779174805,5.12,447592784,12823043932.16,12823043932.16,3.5513012409210205,154855649,094216,095158,1,1/1,1,房地产开
22,603320,迪贝电气,9.990530014038086,23.23,179099471,3464666295.69,3464666295.69,5.253913879394531,131813942,094628,094628,0,4/2,1,电机
23,002291,遥望科技,10.014727592468262,7.47,531774848,6492365766.9,6988523839.2,8.43929672241211,356363820,094906,094906,0,1/1,1,互联网服
24,603916,苏博特,10.046082496643066,11.94,237886385,5018684953.62,5089966789.44,4.8814568519592285,158432791,095210,095210,0,1/1,1,化学制品
25,603616,韩建河山,10.070671081542969,6.23,202124376,2394145390.0,2437911140.0,8.667737007141113,91471931,095254,095254,0,1/1,1,水泥建材
26,605089,味知香,10.003650665283203,30.13,151205954,4157940000.0,4157940000.0,3.7053544521331787,120953962,095353,095353,0,1/1,1,食品饮料
27,000048,京基智农,10.006540298461914,16.82,283746928,8853367631.0,8919347545.92,3.29197359085083,319952108,095606,095606,0,1/1,1,农牧饲渔
28,600774,汉商集团,10.018903732299805,11.64,483287168,3431962404.84,3434177136.0,14.720990180969238,95879844,095722,095919,1,2/2,2,化学制药
29,002810,山东赫达,10.0,17.49,325739488,5644195556.339999,6095308934.879999,5.949258327484131,240168237,100527,100527,0,1/1,1,化学制品
30,002165,红 宝 丽,9.96216869354248,8.72,710494112,6344929205.120001,6411553004.8,11.542176246643066,450203136,100833,100833,0,1/1,1,化学制品
31,605366,宏柏新材,10.077519416809082,7.1,314139856,4616126975.9,4616127025.599999,6.987729549407959,95422544,100905,100905,0,1/1,1,化学制品
32,002809,红墙股份,10.0,12.1,166248611,1683333608.0,2560510197.2999997,10.13142204284668,132687874,101157,101157,0,1/1,1,化学制品
33,600610,中毅达,9.961315155029297,11.37,889082896,8058222635.849999,12180392292.96,11.347380638122559,107246535,101352,101519,1,1/1,1,化学原料
34,600230,沧州大化,10.0,18.15,560717424,7513392422.249999,7513392295.2,7.676278591156006,75607818,101418,101418,0,2/2,2,化学制品
35,300927,江天化学,19.992082595825195,30.31,552294112,4270343468.2999997,4375551600.0,13.581012725830078,123755730,101430,101430,0,1/1,1,化学原料
36,600403,大有能源,10.044978141784668,7.34,531962976,17548563030.68,17548563016.0,3.1588430404663086,196461706,101859,101859,0,1/1,1,煤炭行业
37,002181,粤 传 媒,10.029498100280762,11.19,1093111856,12695280825.39,12992240989.439999,8.919659614562988,356684181,103339,103339,0,8/4,1,文化传媒
38,300242,佳云科技,19.92481231689453,6.38,734796944,4048460121.64,4048462380.16,19.078460693359375,313256685,103551,103551,0,1/1,1,文化传媒
39,600539,狮头股份,10.009532928466797,11.54,185228620,2654200000.0,2654200000.0,7.171864986419678,136959697,103641,103641,0,1/1,1,环保行业
40,600838,上海九百,10.007819175720215,14.07,805357024,5640409472.67,5640409514.88,14.942290306091309,181463519,104834,104834,0,1/1,1,商业百货
41,000031,大悦城,10.169490814208984,3.25,205216627,13930490278.25,13930518368.0,1.5215859413146973,80351284,105839,110045,2,1/1,1,房地产开
42,000523,红棉股份,10.129870414733887,4.24,488297536,5618679052.96,7782386287.360001,9.017696380615234,103414388,110427,110654,1,1/1,1,食品饮料
43,600675,中华企业,10.144927024841309,3.04,526420512,18380251406.24,18380251299.84,2.956589460372925,42002561,130011,131402,1,1/1,1,房地产开
44,000417,合百集团,10.035842895507812,9.21,844112752,7174842823.710001,7182733555.68,12.226407051086426,284210284,130303,130303,0,1/1,1,商业百货
45,603216,梦天家居,10.00400161743164,54.98,446459632,12243496200.0,12243496200.0,3.764589786529541,38573858,130453,133241,1,3/2,1,装修装饰
46,002716,湖南白银,10.026619911193848,12.4,5379101696,28828192452.0,35006299136.0,19.61566925048828,258060256,131842,131842,0,1/1,1,贵金属
47,002637,赞宇科技,9.981851577758789,12.12,463863344,5365804578.0,5701260216.96,8.859651565551758,239714656,132248,132248,0,1/1,1,化学制品
48,000506,招金黄金,10.01878547668457,17.57,1542591152,16315227222.77,16322842043.2,9.861054420471191,1005004,132639,142518,4,2/2,2,贵金属
49,002584,西陇科学,10.0217866897583,10.1,1176225808,4731107922.7,5910685801.599999,25.811080932617188,328408085,134630,134630,0,1/1,1,电子化学
50,000949,新乡化纤,10.029498100280762,7.46,1057975904,12680916531.98,12684461203.2,8.68807601928711,129866037,134936,134936,0,2/2,2,化纤行业
51,601179,中国西电,10.027854919433594,15.8,9262846208,80988941161.6,80988941414.40001,11.752163887023926,733787044,135059,135059,0,2/2,2,电网设备
52,920471,美邦科技,29.940563201904297,17.49,222965606,927505316.43,1455167999.9999998,26.170812606811523,37831237,135059,135059,0,1/1,1,化学原料
53,002112,三变科技,10.013654708862305,24.17,2901865984,6334462723.5,7109153037.6,48.866416931152344,125368388,140448,140836,2,10/6,2,电网设备
54,603737,三棵树,10.004547119140625,48.38,625848384,35695609343.740005,35695609295.36,1.8225795030593872,192210982,141508,141508,0,1/1,1,装修建材
