序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,36679991,6985834267.5,7180164608.0,0.5250624418258667,991940709,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,152714944,7261392032.62,7261401982.559999,2.1031084060668945,177575970,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,89945376,17565482880.0,17565482880.0,0.5120575428009033,628180560,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,34199125,15047726288.56,16337682853.119999,0.22727105021476746,2163089295,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1513760928,14829119398.140001,14829119418.080002,10.211297035217285,424188046,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,84284557,9085613562.88,9085613562.88,0.9276704788208008,892604926,092502,092502,0,2/2,1,电子化学
7,002995,天地在线,10.019742965698242,22.29,310827872,2505779566.3199997,3955460359.2,12.476696968078613,61778964,093009,093009,0,2/2,2,文化传媒
8,600391,航发科技,9.995241165161133,46.22,703984128,15258579342.74,15258579019.199999,4.616133689880371,187102118,093019,093019,0,2/2,2,航天航空
9,601616,广电电气,9.920635223388672,5.54,389223520,4729361267.26,4729361228.4800005,8.329415321350098,219234420,093040,093040,0,3/3,3,电网设备
10,002969,嘉美包装,10.0,18.92,443853968,19234380925.760002,19350393673.600002,2.3101301193237305,165430804,093048,093048,0,23/16,2,包装材料
11,002201,九鼎新材,10.023677825927734,13.94,2460488432,8392206474.799999,9083809185.6,29.90093421936035,139072674,093115,133100,5,5/3,2,玻璃玻纤
12,601677,明泰铝业,9.986772537231445,16.63,813889200,20255450207.01,20679798000.16,4.056355953216553,271773563,093308,093308,0,1/1,1,有色金属
13,600187,国中水务,9.960159301757812,2.76,212207270,4454035844.28,4454035847.04,4.8097147941589355,68262804,093414,093605,1,1/1,1,公用事业
14,603926,铁流股份,10.004953384399414,22.21,306429248,5126925550.31,5213055930.31,6.1260151863098145,54816989,093426,093950,2,2/2,2,汽车零部
15,688380,中微半导,19.99419593811035,41.35,752272832,6990837750.0,16555093080.800001,11.064674377441406,454915994,093451,093551,1,1/1,1,半导体
16,002546,新联电子,10.011000633239746,10.0,1897398448,8012320960.0,8340491040.0,24.119237899780273,52198000,093527,110406,2,4/3,2,电网设备
17,603421,鼎信通讯,10.0,7.92,277581712,5165348847.12,5165348855.04,5.444002151489258,80935715,093603,093821,1,1/1,1,通信服务
18,003039,顺控发展,9.982383728027344,18.73,225558440,11566125812.9,11566125925.28,1.9879049062728882,248871129,093651,093651,0,1/1,1,公用事业
19,003035,南网能源,9.9609375,5.63,490196640,21325757570.81,21325757553.92,2.342212677001953,257822640,093733,093733,0,1/1,1,专业服务
20,002208,合肥城建,10.034602165222168,15.9,1128009408,12769041689.7,12772341019.2,9.045469284057617,213976428,094115,102657,2,3/2,1,房地产开
21,600955,维远股份,9.9893159866333,20.59,444442656,11324500000.0,11324500000.0,4.016068458557129,71066385,094134,094325,2,1/1,1,化学原料
22,600649,城投控股,10.107526779174805,5.12,443772528,12823043932.16,12823043932.16,3.5215091705322266,164428728,094216,095158,1,1/1,1,房地产开
23,603320,迪贝电气,9.990530014038086,23.23,178350072,3464666295.69,3464666295.69,5.232284069061279,133060464,094628,094628,0,4/2,1,电机
24,002291,遥望科技,10.014727592468262,7.47,523920880,6492365766.9,6988523839.2,8.318324089050293,387790857,094906,094906,0,1/1,1,互联网服
25,603916,苏博特,10.046082496643066,11.94,233818427,5018684953.62,5089966789.44,4.800400733947754,173785243,095210,095210,0,1/1,1,化学制品
26,603616,韩建河山,10.070671081542969,6.23,198611279,2394145390.0,2437911140.0,8.520999908447266,99106173,095254,095254,0,1/1,1,水泥建材
27,605089,味知香,10.003650665283203,30.13,147371550,4157940000.0,4157940000.0,3.613135576248169,126885414,095353,095353,0,1/1,1,食品饮料
28,000048,京基智农,10.006540298461914,16.82,282211264,8853367631.0,8919347545.92,3.274627923965454,328886892,095606,095606,0,1/1,1,农牧饲渔
29,600774,汉商集团,10.018903732299805,11.64,456724272,3431962404.84,3434177136.0,13.947005271911621,129112742,095722,095919,1,2/2,2,化学制药
30,002810,山东赫达,10.0,17.49,321048624,5644195556.339999,6095308934.879999,5.866148948669434,252981446,100527,100527,0,1/1,1,化学制品
31,002165,红 宝 丽,9.96216869354248,8.72,700327472,6344929205.120001,6411553004.8,11.381943702697754,556145904,100833,100833,0,1/1,1,化学制品
