序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,10.0,9.35,34821270,7684417694.25,7898181068.799999,0.45314130187034607,1200816760,092500,092500,0,2/2,2,半导体
2,000880,潍柴重机,10.003290176391602,33.43,330686816,7589505924.0,15506466988.64,4.357158660888672,928549674,092500,092500,0,1/1,1,通用设备
3,002279,久其软件,10.046189308166504,9.53,211335040,7526101635.969999,8216831413.919999,2.808027982711792,610555984,092500,092500,0,1/1,1,软件开发
4,002931,锋龙股份,10.004012107849121,82.25,126993342,16553102678.0,17972106656.0,0.7671875357627869,2052870183,092500,092500,0,16/16,3,通用设备
5,301023,奕帆传动,20.0,55.92,185075348,2337795546.2400002,4371079068.0,7.916660785675049,230147427,092500,092500,0,1/1,1,电机
6,603078,江化微,10.016977310180664,25.92,29875833,9995717468.16,9995717468.16,0.29888632893562317,798763239,092503,092503,0,3/3,2,电子化学
7,002876,三利谱,10.011919021606445,27.69,128329896,4124409162.9,4814873767.08,3.111602783203125,173225871,093000,093000,0,1/1,1,光学光电
8,301031,中熔电气,20.0,143.4,647690240,9868455312.0,14099443632.0,6.570186614990234,359701978,093000,093000,0,1/1,1,电网设备
9,002809,红墙股份,10.0,13.31,335351392,1851666968.8,2816561217.03,18.229385375976562,143870372,093012,093142,2,2/2,2,化学制品
10,603608,天创时尚,10.050251007080078,10.95,149679407,4595901916.5,4595901938.4,3.286766529083252,144409038,093100,093109,1,1/1,1,纺织服装
11,002437,誉衡药业,10.031347274780273,3.51,632156144,7368291333.0,7834418729.28,8.632814407348633,222818376,093145,094815,1,1/1,1,化学制药
12,000048,京基智农,9.98810863494873,18.5,488024928,9737651675.0,9810221736.0,5.067661285400391,113628054,093151,095051,3,2/2,2,农牧饲渔
13,002498,汉缆股份,10.03787899017334,5.81,1608173776,19328684760.0,19328684760.0,8.406124114990234,372231140,093154,093154,0,4/4,4,电网设备
14,603023,威帝股份,10.09009075164795,6.11,289058336,3410097356.77,3410097362.88,8.584521293640137,129982918,093307,093307,0,1/1,1,汽车零部
15,002995,天地在线,10.005078315734863,21.66,411949472,2434956725.28,3843664036.8,17.386640548706055,309235682,093312,093312,0,3/2,1,文化传媒
16,000066,中国长城,10.0,17.82,2113685072,57480010913.16,57483739748.16,3.7467730045318604,2335640081,093315,093315,0,1/1,1,计算机设
17,600841,动力新科,10.0,7.92,262942133,8260753913.28,10991548592.64,3.289113759994507,193243541,093551,093551,0,4/2,1,汽车整车
18,688047,龙芯中科,20.0,177.72,2014792896,71265720000.0,71265720000.0,2.9375662803649902,852450863,093618,093821,1,1/1,1,半导体
19,603926,铁流股份,9.995497703552246,24.43,719408992,5639387266.73,5734126806.73,12.943831443786621,54733216,093737,101510,2,3/3,3,汽车零部
20,002239,奥特佳,9.904153823852539,3.44,717923472,11233673962.24,11428826703.36,6.519979000091553,315412912,093812,093812,0,1/1,1,汽车零部
21,603991,至正股份,10.0,86.13,222586312,6419699377.74,13152887322.3,3.5657074451446533,174490767,093947,093947,0,1/1,1,塑料制品
22,600173,卧龙新能,9.943977355957031,7.85,288325552,5498267515.4,5498973984.0,5.302649974822998,125518195,093949,094204,1,1/1,1,房地产开
23,002196,方正电机,10.011778831481934,18.68,1283426416,9121171402.76,9262887764.48,14.75922679901123,641950117,094457,094457,0,4/2,1,电机
24,605287,德才股份,9.994964599609375,43.69,267693500,6116600000.0,6116600000.0,4.521885871887207,90606069,094523,095241,1,6/3,1,装修装饰
25,001202,炬申股份,10.027247428894043,20.19,347789808,2358675651.4500003,3365493510.9,14.999104499816895,353585249,094533,094954,3,1/1,1,物流行业
26,002077,大港股份,10.02967357635498,18.54,725173088,10759661431.02,10759661412.48,6.9240312576293945,489626401,094651,094651,0,1/1,1,半导体
27,600649,城投控股,9.9609375,5.63,927506368,14100339323.84,14100339323.84,6.778538703918457,147214332,094721,095721,2,2/2,2,房地产开
28,000036,华联控股,9.98217487335205,6.17,565127424,8645101565.11,8661561502.4,6.771998405456543,91570821,094724,100521,2,1/1,1,房地产开
29,000045,深纺织Ａ,10.0,13.64,360947664,6233778020.360001,6908958115.84,5.914273738861084,327758151,094803,094803,0,1/1,1,光学光电
30,002716,湖南白银,10.0,13.64,3987730160,31711011697.2,38506929049.6,12.810011863708496,397785338,095036,100224,1,6/3,2,贵金属
31,002240,盛新锂能,9.988214492797852,37.33,2472251600,34078882592.26,34167920241.76,7.4644012451171875,656414453,095330,095548,1,1/1,1,能源金属
32,001203,大中矿业,10.010764122009277,30.66,899127728,40327600609.38,47004246045.12,2.2960076332092285,739724622,095545,095545,0,1/1,1,钢铁行业
33,920427,华维设计,29.957204818725586,18.22,220077503,922299388.0799999,1878390900.0,24.758607864379883,67466528,095650,095735,1,1/1,1,工程咨询
34,002913,奥士康,9.992467880249023,43.81,226308806,13216750367.34,13903564030.720001,1.7660281658172607,312128726,095736,095736,0,1/1,1,电子元件
35,603313,梦百合,9.979209899902344,10.58,255219039,6036809243.3,6036809190.4,4.364052772521973,70959911,100018,100018,0,1/1,1,装修建材
36,002662,峰璟股份,9.951457023620605,4.53,455133456,6794914383.0,6795000000.0,6.845506191253662,138232044,100127,101936,1,1/1,1,汽车零部
37,002799,环球印务,10.01137638092041,9.67,119821874,3094746186.0,3094786800.0,4.034417629241943,328443484,100306,100306,0,1/1,1,包装材料
38,002782,可立克,10.019268035888672,22.84,467821376,11111687408.0,11327818125.44,4.370210647583008,322612716,100506,100506,0,1/1,1,电子元件
39,600759,洲际油气,9.97150993347168,3.86,1639459216,15994627110.8,16015175820.8,10.542706489562988,215202334,100514,101305,3,1/1,1,石油行业
