序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,10.0,9.35,33857285,7684417694.25,7898181068.799999,0.4405966103076935,1218542490,092500,092500,0,2/2,2,半导体
2,000880,潍柴重机,10.003290176391602,33.43,322161504,7589505924.0,15506466988.64,4.244828224182129,1026099082,092500,092500,0,1/1,1,通用设备
3,002279,久其软件,10.046189308166504,9.53,209409742,7526101635.969999,8216831413.919999,2.7824463844299316,615540412,092500,092500,0,1/1,1,软件开发
4,002931,锋龙股份,10.004012107849121,82.25,123465475,16553102678.0,17972106656.0,0.7458751201629639,2068595725,092500,092500,0,16/16,3,通用设备
5,301023,奕帆传动,20.0,55.92,182604244,2337795546.2400002,4371079068.0,7.8109588623046875,235845116,092500,092500,0,1/1,1,电机
6,603078,江化微,10.016977310180664,25.92,29447634,9995717468.16,9995717468.16,0.29460251331329346,808395629,092503,092503,0,3/3,2,电子化学
7,002876,三利谱,10.011919021606445,27.69,123558909,4124409162.9,4814873767.08,2.9959259033203125,175568445,093000,093000,0,1/1,1,光学光电
8,301031,中熔电气,20.0,143.4,645109040,9868455312.0,14099443632.0,6.544030666351318,355572058,093000,093000,0,1/1,1,电网设备
9,002809,红墙股份,10.0,13.31,332443488,1851666968.8,2816561217.03,18.072343826293945,146064858,093012,093142,2,2/2,2,化学制品
10,603608,天创时尚,10.050251007080078,10.95,148271237,4595901916.5,4595901938.4,3.256126880645752,147354588,093100,093109,1,1/1,1,纺织服装
11,002437,誉衡药业,10.031347274780273,3.51,617939248,7368291333.0,7834418729.28,8.439867973327637,220604268,093145,094815,1,1/1,1,化学制药
12,000048,京基智农,9.98810863494873,18.5,483042096,9737651675.0,9810221736.0,5.0164899826049805,122988000,093151,095051,3,2/2,2,农牧饲渔
13,002498,汉缆股份,10.03787899017334,5.81,1575822128,19328684760.0,19328684760.0,8.238747596740723,453606401,093154,093154,0,4/4,4,电网设备
14,603023,威帝股份,10.09009075164795,6.11,285212096,3410097356.77,3410097362.88,8.471731185913086,134112208,093307,093307,0,1/1,1,汽车零部
15,002995,天地在线,10.005078315734863,21.66,409618016,2434956725.28,3843664036.8,17.290889739990234,312524515,093312,093312,0,3/2,1,文化传媒
16,000066,中国长城,10.0,17.82,2056293856,57480010913.16,57483739748.16,3.64692759513855,2552130040,093315,093315,0,1/1,1,计算机设
17,600841,动力新科,10.0,7.92,254855813,8260753913.28,10991548592.64,3.191225528717041,203088893,093551,093551,0,4/2,1,汽车整车
18,688047,龙芯中科,20.0,177.72,2001668624,71265720000.0,71265720000.0,2.9191503524780273,900968423,093618,093821,1,1/1,1,半导体
19,002239,奥特佳,9.904153823852539,3.44,701620272,11233673962.24,11428826703.36,6.374851226806641,367757328,093812,093812,0,1/1,1,汽车零部
20,603991,至正股份,10.0,86.13,218116165,6419699377.74,13152887322.3,3.4960758686065674,185368986,093947,093947,0,1/1,1,塑料制品
21,600173,卧龙新能,9.943977355957031,7.85,274749600,5498267515.4,5498973984.0,5.055736541748047,164853925,093949,094204,1,1/1,1,房地产开
22,002196,方正电机,10.011778831481934,18.68,1264795744,9121171402.76,9262887764.48,14.554969787597656,767077350,094457,094457,0,4/2,1,电机
23,605287,德才股份,9.994964599609375,43.69,266981353,6116600000.0,6116600000.0,4.510242938995361,84956952,094523,095241,1,6/3,1,装修装饰
24,001202,炬申股份,10.027247428894043,20.19,339858576,2358675651.4500003,3365493510.9,14.662846565246582,365911849,094533,094954,3,1/1,1,物流行业
25,002077,大港股份,10.02967357635498,18.54,707482224,10759661431.02,10759661412.48,6.759612560272217,533510581,094651,094651,0,1/1,1,半导体
26,600649,城投控股,9.9609375,5.63,918512864,14100339323.84,14100339323.84,6.714756488800049,140493384,094721,095721,2,2/2,2,房地产开
27,000036,华联控股,9.98217487335205,6.17,559193744,8645101565.11,8661561502.4,6.703361988067627,98829826,094724,100521,2,1/1,1,房地产开
28,000045,深纺织Ａ,10.0,13.64,355441200,6233778020.360001,6908958115.84,5.82594108581543,349298439,094803,094803,0,1/1,1,光学光电
29,002716,湖南白银,10.0,13.64,3969991184,31711011697.2,38506929049.6,12.754073143005371,416079470,095036,100224,1,6/3,2,贵金属
30,002240,盛新锂能,9.988214492797852,37.33,2434731216,34078882592.26,34167920241.76,7.354302406311035,812300800,095330,095548,1,1/1,1,能源金属
31,001203,大中矿业,10.010764122009277,30.66,884174848,40327600609.38,47004246045.12,2.2589290142059326,788989110,095545,095545,0,1/1,1,钢铁行业
32,920427,华维设计,29.957204818725586,18.22,214739189,922299388.0799999,1878390900.0,24.1798038482666,69564798,095650,095735,1,1/1,1,工程咨询
33,002913,奥士康,9.992467880249023,43.81,221726280,13216750367.34,13903564030.720001,1.7313560247421265,385089900,095736,095736,0,1/1,1,电子元件
34,603313,梦百合,9.979209899902344,10.58,243727953,6036809243.3,6036809190.4,4.173702716827393,63286227,100018,100018,0,1/1,1,装修建材
35,002799,环球印务,10.01137638092041,9.67,116239139,3094746186.0,3094786800.0,3.918649196624756,418829941,100306,100306,0,1/1,1,包装材料
36,002782,可立克,10.019268035888672,22.84,449542528,11111687408.0,11327818125.44,4.205709457397461,509818492,100506,100506,0,1/1,1,电子元件
37,002156,通富微电,9.998040199279785,56.11,6399977472,85144244176.42,85152362732.31999,7.850429058074951,4016737816,100706,100706,0,4/2,1,半导体
38,600986,浙文互联,10.03009033203125,10.97,2646178544,16316493460.140001,16316493482.080002,17.11897087097168,779476344,100816,100840,1,9/5,2,文化传媒
