序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,10.0,9.35,33657195,7684417694.25,7898181068.799999,0.43799278140068054,1222351680,092500,092500,0,2/2,2,半导体
2,000880,潍柴重机,10.003290176391602,33.43,319699712,7589505924.0,15506466988.64,4.2123918533325195,1063000454,092500,092500,0,1/1,1,通用设备
3,002279,久其软件,10.046189308166504,9.53,208719770,7526101635.969999,8216831413.919999,2.7732787132263184,627836971,092500,092500,0,1/1,1,软件开发
4,002931,锋龙股份,10.004012107849121,82.25,123037775,16553102678.0,17972106656.0,0.7432913184165955,2080966125,092500,092500,0,16/16,3,通用设备
5,301023,奕帆传动,20.0,55.92,181832548,2337795546.2400002,4371079068.0,7.777949333190918,235218812,092500,092500,0,1/1,1,电机
6,603078,江化微,10.016977310180664,25.92,28312338,9995717468.16,9995717468.16,0.28324466943740845,812387309,092503,092503,0,3/3,2,电子化学
7,002876,三利谱,10.011919021606445,27.69,122052573,4124409162.9,4814873767.08,2.9594035148620605,177232614,093000,093000,0,1/1,1,光学光电
8,301031,中熔电气,20.0,143.4,644492416,9868455312.0,14099443632.0,6.537782192230225,352990858,093000,093000,0,1/1,1,电网设备
9,002809,红墙股份,10.0,13.31,331696800,1851666968.8,2816561217.03,18.032018661499023,146689097,093012,093142,2,2/2,2,化学制品
10,603608,天创时尚,10.050251007080078,10.95,145675430,4595901916.5,4595901938.4,3.19964599609375,150075225,093100,093109,1,1/1,1,纺织服装
11,002437,誉衡药业,10.031347274780273,3.51,615038576,7368291333.0,7834418729.28,8.400500297546387,223991769,093145,094815,1,1/1,1,化学制药
12,000048,京基智农,9.98810863494873,18.5,481058896,9737651675.0,9810221736.0,4.996123790740967,121792900,093151,095051,3,2/2,2,农牧饲渔
13,002498,汉缆股份,10.03787899017334,5.81,1573721808,19328684760.0,19328684760.0,8.22788143157959,456536384,093154,093154,0,4/4,4,电网设备
14,603023,威帝股份,10.09009075164795,6.11,284465456,3410097356.77,3410097362.88,8.449836730957031,134659664,093307,093307,0,1/1,1,汽车零部
