序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,10.0,9.35,37191495,7684417694.25,7898181068.799999,0.48398587107658386,1116233855,092500,092500,0,2/2,2,半导体
2,000880,潍柴重机,10.003290176391602,33.43,349246480,7589505924.0,15506466988.64,4.601702690124512,832576155,092500,092500,0,1/1,1,通用设备
3,002279,久其软件,10.046189308166504,9.53,219408914,7526101635.969999,8216831413.919999,2.915306329727173,545897736,092500,092500,0,1/1,1,软件开发
4,002931,锋龙股份,10.004012107849121,82.25,139426252,16553102678.0,17972106656.0,0.8422967791557312,1938003123,092500,092500,0,16/16,3,通用设备
5,301023,奕帆传动,20.0,55.92,186971092,2337795546.2400002,4371079068.0,7.9977521896362305,230678611,092500,092500,0,1/1,1,电机
6,603078,江化微,10.016977310180664,25.92,32445490,9995717468.16,9995717468.16,0.3245939016342163,766071950,092503,092503,0,3/3,2,电子化学
7,002876,三利谱,10.011919021606445,27.69,131000319,4124409162.9,4814873767.08,3.176349639892578,168727907,093000,093000,0,1/1,1,光学光电
8,301031,中熔电气,20.0,143.4,676521664,9868455312.0,14099443632.0,6.862344264984131,377647628,093000,093000,0,1/1,1,电网设备
9,002809,红墙股份,10.0,13.31,345339216,1851666968.8,2816561217.03,18.768781661987305,121906210,093012,093142,2,2/2,2,化学制品
10,603608,天创时尚,10.050251007080078,10.95,155017970,4595901916.5,4595901938.4,3.402925729751587,133446555,093100,093109,1,1/1,1,纺织服装
11,002437,誉衡药业,10.031347274780273,3.51,655926224,7368291333.0,7834418729.28,8.955413818359375,165791340,093145,094815,1,1/1,1,化学制药
12,000048,京基智农,9.98810863494873,18.5,503522384,9737651675.0,9810221736.0,5.226810932159424,102587254,093151,095051,3,2/2,2,农牧饲渔
13,002498,汉缆股份,10.03787899017334,5.81,1643492480,19328684760.0,19328684760.0,8.588850975036621,310764518,093154,093154,0,4/4,4,电网设备
14,601616,广电电气,9.9277982711792,6.09,1677410304,5198882692.71,5198882650.08,33.77498245239258,140601285,093217,103014,2,4/4,4,电网设备
15,603023,威帝股份,10.09009075164795,6.11,381636496,3410097356.77,3410097362.88,11.30817985534668,167786710,093307,110543,1,1/1,1,汽车零部
16,002995,天地在线,10.005078315734863,21.66,418343504,2434956725.28,3843664036.8,17.649232864379883,274789784,093312,093312,0,3/2,1,文化传媒
17,000066,中国长城,10.0,17.82,2217634688,57480010913.16,57483739748.16,3.9276177883148193,1888375705,093315,093315,0,1/1,1,计算机设
18,600841,动力新科,10.0,7.92,269366048,8260753913.28,10991548592.64,3.366878032684326,170981213,093551,093551,0,4/2,1,汽车整车
