序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,10.0,9.35,40028285,7684417694.25,7898181068.799999,0.5209019780158997,960725590,092500,092500,0,2/2,2,半导体
2,000880,潍柴重机,10.003290176391602,33.43,376047616,7589505924.0,15506466988.64,4.954836845397949,725629941,092500,092500,0,1/1,1,通用设备
3,002165,红 宝 丽,9.97706413269043,9.59,2734470208,6977966866.64,7051237765.599999,39.54004669189453,222488824,092500,130906,3,2/2,2,化学制品
4,002279,久其软件,10.046189308166504,9.53,226744822,7526101635.969999,8216831413.919999,3.0127792358398438,425953442,092500,092500,0,1/1,1,软件开发
5,002931,锋龙股份,10.004012107849121,82.25,163693950,16553102678.0,17972106656.0,0.9889019131660461,1851126725,092500,092500,0,16/16,3,通用设备
6,301023,奕帆传动,20.0,55.92,189335949,2337795546.2400002,4371079068.0,8.098909378051758,220568834,092500,092500,0,1/1,1,电机
7,603078,江化微,10.016977310180664,25.92,36590512,9995717468.16,9995717468.16,0.36606189608573914,670851823,092503,092503,0,3/3,2,电子化学
8,002876,三利谱,10.011919021606445,27.69,148962822,4124409162.9,4814873767.08,3.6118667125701904,135804497,093000,093000,0,1/1,1,光学光电
9,301031,中熔电气,20.0,143.4,701051536,9868455312.0,14099443632.0,7.110912322998047,353189467,093000,093000,0,1/1,1,电网设备
10,002809,红墙股份,10.0,13.31,355846800,1851666968.8,2816561217.03,19.33624839782715,102317217,093012,093142,2,2/2,2,化学制品
11,603608,天创时尚,10.050251007080078,10.95,165506099,4595901916.5,4595901938.4,3.631131887435913,105632241,093100,093109,1,1/1,1,纺织服装
12,002437,誉衡药业,10.031347274780273,3.51,675627152,7368291333.0,7834418729.28,9.22278881072998,136064799,093145,094815,1,1/1,1,化学制药
13,000048,京基智农,9.98810863494873,18.5,512298784,9737651675.0,9810221736.0,5.316939353942871,91788804,093151,095051,3,2/2,2,农牧饲渔
14,002498,汉缆股份,10.03787899017334,5.81,1684731088,19328684760.0,19328684760.0,8.802206039428711,256528360,093154,093154,0,4/4,4,电网设备
15,603023,威帝股份,10.09009075164795,6.11,405297184,3410097356.77,3410097362.88,12.002021789550781,80581405,093307,110543,1,1/1,1,汽车零部
16,002995,天地在线,10.005078315734863,21.66,434388928,2434956725.28,3843664036.8,18.308195114135742,174469632,093312,093312,0,3/2,1,文化传媒
17,000066,中国长城,10.0,17.82,2371266496,57480010913.16,57483739748.16,4.194896697998047,1319067442,093315,093315,0,1/1,1,计算机设
18,600841,动力新科,10.0,7.92,279830736,8260753913.28,10991548592.64,3.4935576915740967,134317157,093551,093551,0,4/2,1,汽车整车
19,688047,龙芯中科,20.0,177.72,2164748576,71265720000.0,71265720000.0,3.147984027862549,470845325,093618,093821,1,1/1,1,半导体
20,603991,至正股份,10.0,86.13,249002383,6419699377.74,13152887322.3,3.977191925048828,132312906,093947,093947,0,1/1,1,塑料制品
21,600173,卧龙新能,9.943977355957031,7.85,309406032,5498267515.4,5498973984.0,5.686051845550537,92503929,093949,094204,1,1/1,1,房地产开
22,001360,南矿集团,10.008410453796387,26.16,405129856,2139394779.36,5336640000.0,19.522174835205078,98069314,094212,132457,1,1/1,1,专用设备
23,002196,方正电机,10.011778831481934,18.68,1353457184,9121171402.76,9262887764.48,15.527009963989258,360811074,094457,094457,0,4/2,1,电机
24,605287,德才股份,9.994964599609375,43.69,278072496,6116600000.0,6116600000.0,4.691571235656738,77483341,094523,095241,1,6/3,1,装修装饰
25,001202,炬申股份,10.027247428894043,20.19,351299024,2358675651.4500003,3365493510.9,15.147883415222168,345969379,094533,094954,3,1/1,1,物流行业
26,002077,大港股份,10.02967357635498,18.54,824729184,10759661431.02,10759661412.48,7.849302768707275,279037957,094651,094651,0,1/1,1,半导体
27,000036,华联控股,9.98217487335205,6.17,583190464,8645101565.11,8661561502.4,6.980937957763672,54621405,094724,100521,2,1/1,1,房地产开
28,000045,深纺织Ａ,10.0,13.64,378202256,6233778020.360001,6908958115.84,6.191065788269043,213363563,094803,094803,0,1/1,1,光学光电
29,002716,湖南白银,10.0,13.64,5037509376,31711011697.2,38506929049.6,16.12675666809082,228021462,095036,104330,3,6/3,2,贵金属
30,002240,盛新锂能,9.988214492797852,37.33,2620307936,34078882592.26,34167920241.76,7.898853302001953,260817244,095330,095548,1,1/1,1,能源金属
31,001389,广合科技,9.996545791625977,95.51,1063163504,14437096473.070002,40657413507.04,7.512715816497803,182131839,095418,102930,1,1/1,1,电子元件
32,001203,大中矿业,10.010764122009277,30.66,952963616,40327600609.38,47004246045.12,2.429504156112671,393429120,095545,095545,0,1/1,1,钢铁行业
33,920427,华维设计,29.957204818725586,18.22,242948468,922299388.0799999,1878390900.0,27.238384246826172,60670231,095650,095735,1,1/1,1,工程咨询
34,002913,奥士康,9.992467880249023,43.81,271633808,13216750367.34,13903564030.720001,2.108964204788208,137690449,095736,095736,0,1/1,1,电子元件
35,603313,梦百合,9.979209899902344,10.58,272012160,6036809243.3,6036809190.4,4.642231464385986,53610288,100018,100018,0,1/1,1,装修建材
36,002662,峰璟股份,9.951457023620605,4.53,638726080,6794914383.0,6795000000.0,9.549919128417969,70791669,100127,111936,2,1/1,1,汽车零部
37,002799,环球印务,10.01137638092041,9.67,130185213,3094746186.0,3094786800.0,4.369286060333252,187284692,100306,100306,0,1/1,1,包装材料
38,002782,可立克,10.019268035888672,22.84,551760656,11111687408.0,11327818125.44,5.125625133514404,99931852,100506,100506,0,1/1,1,电子元件
39,600759,洲际油气,9.97150993347168,3.86,1827697488,15994627110.8,16015175820.8,11.719880104064941,107857602,100514,132132,5,1/1,1,石油行业
40,002156,通富微电,9.998040199279785,56.11,7527696896,85144244176.42,85152362732.31999,9.174910545349121,1593268980,100706,100706,0,4/2,1,半导体
41,601212,白银有色,10.012836456298828,8.57,4099231488,63458917559.270004,63458916608.0,6.629621982574463,133486902,101518,105936,6,2/2,2,有色金属
42,603090,宏盛股份,10.001212120056152,90.74,236906250,9074000000.0,9074000000.0,2.701901912689209,156771316,101925,101925,0,1/1,1,通用设备
43,600676,交运股份,9.955257415771484,9.83,389420480,10110085639.52,10110085639.52,4.029253959655762,111324160,102521,102521,0,1/1,1,汽车零部
44,000688,国城矿业,10.007880210876465,27.92,1076061088,33086969737.120003,33087090519.04,3.343252182006836,280752296,103033,103033,0,1/1,1,有色金属
45,603311,金海高科,10.026738166809082,16.46,184110741,3882649109.2200003,3882649109.2200003,4.9085588455200195,116712922,103128,103128,0,1/1,1,家电行业
46,002290,禾盛新材,10.0,64.02,701394400,15837936929.099998,15884151366.599998,4.5279436111450195,175491624,103821,103821,0,1/1,1,家电行业
47,002851,麦格米特,10.0,113.85,2641093248,52128199049.85,62626294684.799995,5.233299732208252,393827073,105154,105154,0,1/1,1,电源设备
48,603052,可川科技,9.993510246276855,50.85,439266048,9554576789.7,9554576789.7,4.841807842254639,135210861,105529,105529,0,4/2,1,电子元件
49,600770,综艺股份,9.964412689208984,6.18,511041712,8034000000.0,8034000000.0,6.5628275871276855,159419298,105603,105603,0,1/1,1,综合行业
50,600714,金瑞矿业,10.0,15.18,293129840,4374515824.14,4374515808.96,6.990860462188721,140202464,110109,110109,0,1/1,1,化学原料
51,000657,中钨高新,10.002638816833496,41.68,4193013232,60213224067.84,94972231392.0,7.154073715209961,190956920,110136,133718,3,1/1,1,小金属
52,000506,招金黄金,10.017074584960938,19.33,1890450864,17949535698.129997,17957913300.8,10.985799789428711,56659632,110327,132824,13,3/2,1,贵金属
53,000700,模塑科技,9.992862701416016,15.41,1159003232,14146617144.49,14146617190.72,8.591681480407715,378059955,110627,110627,0,1/1,1,汽车零部
54,002185,华天科技,10.007758140563965,14.18,4635261440,46200422023.68,46210941768.64,10.44121265411377,1032262055,110721,110721,0,1/1,1,半导体
55,603257,中国瑞林,10.003334045410156,65.98,310309408,1642902000.0,7917600000.000001,19.49633026123047,52158179,111148,111627,2,1/1,1,工程咨询
56,603773,沃格光电,10.0,39.16,706128560,8794577588.279999,8797632068.279999,8.305560111999512,216496882,111305,111305,0,1/1,1,光学光电
57,002554,惠博普,10.081744194030762,4.04,385221776,5387220921.0,5388229123.2,7.489554405212402,204051512,111345,111345,0,6/3,1,采掘行业
58,603058,永吉股份,9.962756156921387,11.81,373494240,4884759219.87,4897167290.08,7.952225208282471,106115212,111643,111643,0,4/2,1,造纸印刷
59,001337,四川黄金,10.005027770996094,43.76,1931557008,12622834560.0,18379200000.0,15.943391799926758,36312048,130012,132942,6,5/3,1,贵金属
60,002397,梦洁股份,10.117647171020508,4.68,205473878,3031994599.9199996,3499617139.2,7.110090732574463,150054610,130251,130251,0,1/1,1,纺织服装
61,600868,梅雁吉祥,9.975668907165527,4.52,1339694304,8579632029.079999,8579631997.44,16.307510375976562,187757414,130320,130320,0,1/1,1,电力行业
