序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002358,森源电气,10.077519416809082,7.1,106633402,6601265484.2,6601274529.599999,1.6153478622436523,231489110,092500,092500,0,2/2,2,电网设备
2,002498,汉缆股份,10.091742515563965,4.8,135452674,15968620800.0,15968620800.0,0.8482427597045898,364407326,092500,092500,0,2/2,2,电网设备
3,002931,锋龙股份,10.001618385314941,67.97,149164039,13679202298.16,14851843032.32,1.0904439687728882,1940988227,092500,092500,0,30/15,1,通用设备
4,603286,日盈电子,9.998578071594238,77.34,205001174,8926183029.54,9079401303.54,2.3043034076690674,171160612,093026,093032,1,1/1,1,汽车零部
5,000987,越秀资本,10.0,10.34,730198976,51849156299.159996,51877150504.96,1.4266300201416016,390339777,093051,093051,0,1/1,1,多元金融
6,600785,新华百货,9.989372253417969,20.7,589010256,4670567496.0,4670567496.0,12.928661346435547,117986356,093107,094858,1,4/4,4,商业百货
7,601616,广电电气,10.043667793273926,5.04,639654144,4302523607.76,4302523572.4800005,15.07840633392334,113403981,093121,094121,4,2/2,2,电网设备
8,002636,金安国纪,9.989200592041016,20.37,587256128,14754305044.29,14829360000.0,4.036759376525879,349760009,093142,093857,1,3/2,1,电子元件
9,002969,嘉美包装,9.974424362182617,17.2,695131568,17182814482.399998,17288280582.399998,4.091946125030518,97146322,093145,093842,2,22/15,1,包装材料
10,601965,中国汽研,10.017472267150879,18.89,437472000,18859884183.03,18947706683.2,2.331054925918579,105255325,093214,093214,0,1/1,1,汽车服务
11,603926,铁流股份,10.027247428894043,20.19,215877756,4660631556.09,4738928376.09,4.661782264709473,42609581,093257,095203,2,1/1,1,汽车零部
12,605376,博迁新材,10.0,69.3,556696672,18128880000.0,18128880000.0,3.0886547565460205,52141250,093321,094700,7,1/1,1,小金属
13,002339,积成电子,10.038609504699707,11.4,737408048,5458247085.6,5746651900.8,13.742558479309082,290175793,093442,094145,1,2/2,2,电网设备
14,600189,泉阳泉,10.040705680847168,8.11,245922619,5800254255.32,5800254222.879999,4.287266731262207,119886804,093453,093453,0,1/1,1,食品饮料
15,002270,华明装备,9.986458778381348,32.49,409921296,29117742069.690002,29118364025.760002,1.4319610595703125,215008943,093554,094442,2,1/1,1,电网设备
16,600671,天目药业,9.99456787109375,20.25,129552124,2464840793.25,2466022421.25,5.325239658355713,34712347,093609,094930,1,1/1,1,中药
17,600312,平高电气,10.004833221435547,22.76,2106143392,30883528992.840004,30883529061.120003,6.878757953643799,1115240,093615,111812,18,1/1,1,电网设备
18,601096,宏盛华源,9.937888145446777,5.31,947355056,8724205432.71,14205073517.279999,11.117270469665527,63285111,093627,105021,7,2/2,2,电网设备
19,002201,九鼎新材,9.982638359069824,12.67,791837424,7627636731.4,8256231160.8,10.641655921936035,398893487,093651,093724,1,4/2,1,玻璃玻纤
20,002606,大连电瓷,10.050762176513672,10.84,377966368,4565179876.2,4759553661.44,8.556048393249512,188691880,093824,093824,0,1/1,1,电网设备
21,688308,欧科亿,20.0,39.78,283340960,6316336344.24,6316336344.24,4.635551452636719,223011413,093911,093911,0,1/1,1,通用设备
22,601179,中国西电,10.038313865661621,14.36,4981551616,73607670574.72,73607670804.48,6.904528617858887,1196405640,094009,095021,1,1/1,1,电网设备
23,002995,天地在线,9.989142417907715,20.26,158854948,2277572634.0800004,3595227764.8,7.173410892486572,215075135,094154,094154,0,1/1,1,文化传媒
24,603239,浙江仙通,10.022371292114258,24.59,204745970,6657004800.0,6657004800.0,3.15026593208313,142914621,094916,094916,0,1/1,1,汽车零部
25,002591,恒大高新,9.943181991577148,7.74,132034485,1729986455.88,2323544037.12,7.838289737701416,198966762,095709,095709,0,1/1,1,互联网服
26,600163,中闽能源,9.9277982711792,6.09,391365680,11589246510.869999,11589246516.96,3.4748759269714355,183393760,100312,100312,0,1/1,1,电力行业
27,603199,九华旅游,9.994914054870605,43.25,345665424,4786910000.0,4786910000.0,7.355052471160889,61584886,100501,105334,6,1/1,1,旅游酒店
