序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002358,森源电气,10.077519416809082,7.1,106200302,6601265484.2,6601274529.599999,1.6087870597839355,224695120,092500,092500,0,2/2,2,电网设备
2,002498,汉缆股份,10.091742515563965,4.8,134356834,15968620800.0,15968620800.0,0.8413802981376648,360469406,092500,092500,0,2/2,2,电网设备
3,002931,锋龙股份,10.001618385314941,67.97,148719515,13679202298.16,14851843032.32,1.0871943235397339,1955624887,092500,092500,0,30/15,1,通用设备
4,603286,日盈电子,9.998578071594238,77.34,204049892,8926183029.54,9079401303.54,2.2936463356018066,170951794,093026,093032,1,1/1,1,汽车零部
5,000987,越秀资本,10.0,10.34,726141664,51849156299.159996,51877150504.96,1.4188047647476196,403257435,093051,093051,0,1/1,1,多元金融
6,600785,新华百货,9.989372253417969,20.7,588283696,4670567496.0,4670567496.0,12.913105010986328,120619396,093107,094858,1,4/4,4,商业百货
7,601616,广电电气,10.043667793273926,5.04,638986336,4302523607.76,4302523572.4800005,15.062885284423828,115693149,093121,094121,4,2/2,2,电网设备
8,002636,金安国纪,9.989200592041016,20.37,586119488,14754305044.29,14829360000.0,4.029055595397949,350116484,093142,093857,1,3/2,1,电子元件
9,002969,嘉美包装,9.974424362182617,17.2,693748688,17182814482.399998,17288280582.399998,4.083898067474365,94772722,093145,093842,2,22/15,1,包装材料
10,601965,中国汽研,10.017472267150879,18.89,430803840,18859884183.03,18947706683.2,2.295698642730713,113039894,093214,093214,0,1/1,1,汽车服务
11,603926,铁流股份,10.027247428894043,20.19,214700881,4660631556.09,4738928376.09,4.636530876159668,47162224,093257,095203,2,1/1,1,汽车零部
12,605376,博迁新材,10.0,69.3,553668256,18128880000.0,18128880000.0,3.0719499588012695,33977720,093321,094700,7,1/1,1,小金属
13,002339,积成电子,10.038609504699707,11.4,736449312,5458247085.6,5746651900.8,13.724993705749512,291347713,093442,094145,1,2/2,2,电网设备
14,600189,泉阳泉,10.040705680847168,8.11,245359785,5800254255.32,5800254222.879999,4.277563095092773,120136592,093453,093453,0,1/1,1,食品饮料
15,002270,华明装备,9.986458778381348,32.49,407063808,29117742069.690002,29118364025.760002,1.422147512435913,221885451,093554,094442,2,1/1,1,电网设备
16,600671,天目药业,9.99456787109375,20.25,129250196,2464840793.25,2466022421.25,5.312990188598633,34633575,093609,094930,1,1/1,1,中药
17,601096,宏盛华源,9.937888145446777,5.31,942766688,8724205432.71,14205073517.279999,11.064677238464355,65260962,093627,105021,7,2/2,2,电网设备
18,002201,九鼎新材,9.982638359069824,12.67,790061088,7627636731.4,8256231160.8,10.618368148803711,411192256,093651,093724,1,4/2,1,玻璃玻纤
19,002606,大连电瓷,10.050762176513672,10.84,375031984,4565179876.2,4759553661.44,8.49177074432373,193327064,093824,093824,0,1/1,1,电网设备
20,688308,欧科亿,20.0,39.78,282609040,6316336344.24,6316336344.24,4.623963832855225,224005436,093911,093911,0,1/1,1,通用设备
21,601179,中国西电,10.038313865661621,14.36,4960561664,73607670574.72,73607670804.48,6.876012802124023,1292736713,094009,095021,1,1/1,1,电网设备
22,002995,天地在线,9.989142417907715,20.26,157710299,2277572634.0800004,3595227764.8,7.123153209686279,215695051,094154,094154,0,1/1,1,文化传媒
23,603239,浙江仙通,10.022371292114258,24.59,204047614,6657004800.0,6657004800.0,3.139775514602661,143300684,094916,094916,0,1/1,1,汽车零部
24,002591,恒大高新,9.943181991577148,7.74,131841759,1729986455.88,2323544037.12,7.827149391174316,199152522,095709,095709,0,1/1,1,互联网服
25,600163,中闽能源,9.9277982711792,6.09,390854112,11589246510.869999,11589246516.96,3.470461845397949,183360265,100312,100312,0,1/1,1,电力行业
26,603199,九华旅游,9.994914054870605,43.25,345025328,4786910000.0,4786910000.0,7.341680526733398,62947261,100501,105334,6,1/1,1,旅游酒店
27,002219,新里程,9.829059600830078,2.57,751448240,8409152360.4,8705571123.199999,9.218146324157715,237311664,100630,102224,1,5/3,1,医疗服务
28,600537,亿晶光电,10.035842895507812,3.07,780706784,3634005105.2599998,3634005123.68,23.18189811706543,4270799,101504,103516,5,1/1,1,光伏设备
29,600382,广东明珠,9.987030029296875,8.48,237247323,5888580594.72,5888580654.08,4.183156967163086,171210377,101842,101842,0,1/1,1,钢铁行业
30,002187,广百股份,9.951457023620605,9.06,570997328,6350105374.9800005,6350105438.400001,9.287541389465332,361679730,101903,101903,0,1/1,1,商业百货
