序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002358,森源电气,10.077519416809082,7.1,106100902,6601265484.2,6601274529.599999,1.60728120803833,223749400,092500,092500,0,2/2,2,电网设备
2,002498,汉缆股份,10.091742515563965,4.8,134106274,15968620800.0,15968620800.0,0.8398112654685974,359286206,092500,092500,0,2/2,2,电网设备
3,002931,锋龙股份,10.001618385314941,67.97,148651545,13679202298.16,14851843032.32,1.0866974592208862,1956644437,092500,092500,0,30/15,1,通用设备
4,603286,日盈电子,9.998578071594238,77.34,203578118,8926183029.54,9079401303.54,2.288361072540283,171114208,093026,093032,1,1/1,1,汽车零部
5,000987,越秀资本,10.0,10.34,725244160,51849156299.159996,51877150504.96,1.4170738458633423,404222157,093051,093051,0,1/1,1,多元金融
6,600785,新华百货,9.989372253417969,20.7,588262992,4670567496.0,4670567496.0,12.9126615524292,121207276,093107,094858,1,4/4,4,商业百货
7,601616,广电电气,10.043667793273926,5.04,638833120,4302523607.76,4302523572.4800005,15.059324264526367,115082805,093121,094121,4,2/2,2,电网设备
8,002636,金安国纪,9.989200592041016,20.37,586060416,14754305044.29,14829360000.0,4.028655052185059,351098318,093142,093857,1,3/2,1,电子元件
9,002969,嘉美包装,9.974424362182617,17.2,693657520,17182814482.399998,17288280582.399998,4.083367824554443,94394322,093145,093842,2,22/15,1,包装材料
10,601965,中国汽研,10.017472267150879,18.89,430386368,18859884183.03,18947706683.2,2.293485164642334,113464919,093214,093214,0,1/1,1,汽车服务
11,603926,铁流股份,10.027247428894043,20.19,214684729,4660631556.09,4738928376.09,4.636184215545654,47198566,093257,095203,2,1/1,1,汽车零部
12,605376,博迁新材,10.0,69.3,553543520,18128880000.0,18128880000.0,3.0712618827819824,34864760,093321,094700,7,1/1,1,小金属
13,002339,积成电子,10.038609504699707,11.4,736403712,5458247085.6,5746651900.8,13.72415828704834,290134753,093442,094145,1,2/2,2,电网设备
14,600189,泉阳泉,10.040705680847168,8.11,245314369,5800254255.32,5800254222.879999,4.276780128479004,120379081,093453,093453,0,1/1,1,食品饮料
15,002270,华明装备,9.986458778381348,32.49,405980256,29117742069.690002,29118364025.760002,1.418426275253296,222881270,093554,094442,2,1/1,1,电网设备
16,600671,天目药业,9.99456787109375,20.25,129096296,2464840793.25,2466022421.25,5.306746482849121,34090875,093609,094930,1,1/1,1,中药
17,601096,宏盛华源,9.937888145446777,5.31,941893728,8724205432.71,14205073517.279999,11.054670333862305,66036222,093627,105021,7,2/2,2,电网设备
18,002201,九鼎新材,9.982638359069824,12.67,789594832,7627636731.4,8256231160.8,10.612255096435547,421097662,093651,093724,1,4/2,1,玻璃玻纤
19,002606,大连电瓷,10.050762176513672,10.84,374460704,4565179876.2,4759553661.44,8.479257583618164,193885324,093824,093824,0,1/1,1,电网设备
20,688308,欧科亿,20.0,39.78,282508832,6316336344.24,6316336344.24,4.622377395629883,224021746,093911,093911,0,1/1,1,通用设备
21,601179,中国西电,10.038313865661621,14.36,4958358784,73607670574.72,73607670804.48,6.873019695281982,1298128893,094009,095021,1,1/1,1,电网设备
22,002995,天地在线,9.989142417907715,20.26,157621155,2277572634.0800004,3595227764.8,7.119239330291748,215747727,094154,094154,0,1/1,1,文化传媒
23,603239,浙江仙通,10.022371292114258,24.59,204042696,6657004800.0,6657004800.0,3.1397016048431396,143352323,094916,094916,0,1/1,1,汽车零部
24,002591,恒大高新,9.943181991577148,7.74,131780613,1729986455.88,2323544037.12,7.823614597320557,199040292,095709,095709,0,1/1,1,互联网服
25,600163,中闽能源,9.9277982711792,6.09,390743888,11589246510.869999,11589246516.96,3.469510793685913,184585573,100312,100312,0,1/1,1,电力行业
26,603199,九华旅游,9.994914054870605,43.25,344982080,4786910000.0,4786910000.0,7.3407769203186035,62947261,100501,105334,6,1/1,1,旅游酒店
27,002219,新里程,9.829059600830078,2.57,751360096,8409152360.4,8705571123.199999,9.217098236083984,237900451,100630,102224,1,5/3,1,医疗服务
28,600537,亿晶光电,10.035842895507812,3.07,780229088,3634005105.2599998,3634005123.68,23.168752670288086,4474954,101504,103516,5,1/1,1,光伏设备
29,600382,广东明珠,9.987030029296875,8.48,237178635,5888580594.72,5888580654.08,4.181990623474121,171131513,101842,101842,0,1/1,1,钢铁行业
30,002187,广百股份,9.951457023620605,9.06,570145680,6350105374.9800005,6350105438.400001,9.274129867553711,362612910,101903,101903,0,1/1,1,商业百货
31,603186,华正新材,9.998275756835938,63.81,818658992,9062604912.78,9062604912.78,9.313738822937012,120147849,102102,104653,2,1/1,1,电子元件
32,605288,凯迪股份,10.001739501953125,126.48,262503925,8878758389.76,8938722557.76,3.102891445159912,51831504,103447,103447,0,1/1,1,专用设备
